,title,link,body,author,university
47,Diagnostic Imaging at the Point-of-Care: A Possible Role for Paramedics? ( 2017/18-2018/19 ),https://cognit.ca/en/research/project/148707,"Older adults with two or more chronic diseases and/or functional disability often have difficulty accessing adequate healthcare in their home. Predictably, many end-up receiving care in the hospital emergency department. In hospital, these older adults often suffer additional problems (infection, falls) which are potentially avoidable and from which they may never recover. Well organized home-based healthcare can be used to successfully manage common medical conditions in older adults (pneumonia, chronic heart failure), may lead to better or similar health outcomes, lower healthcare costs, and is often better supported by patients. However, home care clinicians often require access to medical diagnostic tests not often available at home. When an urgent medical situation arises, the majority of older adults must go out-of-home to obtain required tests and treatment. Recent research showed a large number of older adults who call emergency medical services (9-1-1 in Canada) but were not admitted to hospital receive x-rays as part of their diagnostic tests. A large number (36%) of emergency room visits by long-term care patients were for pneumonia or falls. York Region Paramedic Services is interested in determining whether x-rays, or other diagnostic imaging methods (ultrasound), could be a service provided by paramedics. If diagnostic imaging is provided at the point-of-care, in theory this diagnostic result could aid clinicians in better understanding a patient's medical condition and help guide the next care approach (is a visit to the emergency department really needed?). This project examines the risks and benefits of providing diagnostic imaging at home and identifies the possible roles paramedics can play. The project outcome will help York Region Paramedic Services make an informed decision based on evidence to determine the preferred paramedic role in providing diagnostic imaging out-of-hospital in urgent situations.",Victoria Young,University of Toronto
49,Dissecting host-microbiome modifiers of type 2 diabetes risk and complications ( 2018/19 ),https://cognit.ca/en/research/project/181792,"Obesity-linked type 2 diabetes (T2D) is highly prevalent and has an increasing incidence worldwide, negatively affecting lifespan and quality of life and exerting enormous pressure on health systems throughout the world. The gut microbiota (bacteria in the intestine) is now recognized as a major factor that influence the development of obesity and T2D, and alterations in gut microbiota composition can affect inflammation, insulin sensitivity, and glucose homeostasis. Over time, the gut bacteria and their fragments may past the leaky gut of obese diabetic animals, accumulating and even colonizing the blood and extra-intestinal tissues. However, whether translocation of microbes and microbial products also occurs in human obesity and T2D, especially in metabolic tissues (e.g fat, liver) is still unclear. The overarching goal of this team grant application is to establish an innovative and interdisciplinary microbiome research program, building upon our existing complementary expertise, integrating new concepts and state-of-the-art technologies. This will involve interdisciplinary collaborations from both clinical and basic scientists from 5 universities across Canada and will include substantive contributions from a well balanced mix of early-career, mid-career and senior investigators that will team-up to deliver the following objectives: 1) Define the human gut microbiome of type 2 diabetic (T2D) individuals and determine its impact on gut health and glucose control; 2) Determine the role of human microbes breaching to gut and reaching the circulation and metabolic tissues in the pathogensis of T2D, and the underlying mechanisms by which those microbes can induce complications; and 3) Determine the impact of those human microbiome as key modifiers of the responses to dietary and drug treatments.","André Marette, Jonathan D Schertzer, Frederic Raymond, Caroline K Kramer, Tony K Lam, Michael G Surette, David Z Cherney, Jessica T Yue, Gary Sweeney, Patrick Mathieu, Lesley T MacNeil, Denis Richard, Daniel A Winer, Vincenzo Di Marzo, André Tchernof","Laval University, McMaster University, Laval University, University of Toronto, University Health Network, McMaster University, University of Toronto, University of Alberta, York University, Institut universitaire de cardiologie et de pneumologie de Québec, McMaster University, Laval University, University Health Network, Laval University, Laval University"
50,Dissection of Tumorigenic and Inflammatory Signaling Pathways to Identify Novel Therapeutic Approaches ( 2015/16-2020/21 ),https://cognit.ca/en/research/project/147583,"Tak W. Mak is a global leader in immunology and cancer research. His lab uses genetically modified mice to dissect molecular mechanisms of cancer and immune disorders and characterize molecules that can potentially be targeted to treat disease. The overarching direction of this CIHR Foundation proposal encompasses basic and translational research on new therapeutic targets related to genomic instability, metabolic adaptation, inflammation, or metastasis. The goal is to generate a pipeline of novel agents and perform the preclinical and animal studies required to funnel these drug candidates into clinical trials. This multi-pronged program is designed to identify, characterize and validate new targets, and develop novel biomarker-driven agents against them. Clinical translation of these results may offer concrete treatment options to the many cancer patients who still die of their disease despite recent advances in cancer therapies. This CIHR Foundation proposal contains four Pillars. Pillar I is “Exploitation of genomic instability in cancer cells”, which will focus on two existing inhibitors of genomic instability, generate additional inhibitors, identify biomarkers, and devise rational drug combinations. Pillar II is “Exploitation of metabolic changes in cancer cells”,which will study the effects of IDH mutations on tumorigenesis as well as drugs targeting mutated IDH enzymes. Pillar III is “Investigation of the role of the inflammatory molecule HMGB1 in tumorigenesis”,which will characterize mice bearing unique HMGB1 mutations with an eye to future clinical intervention. Pillar IV is “Identification of factors essential for tumor cell dormancy and metastasis”,which will validate relevant targets and characterize inhibitory mAbs. Dr. Mak is the Project Leader of this proposal. As of February 2015, his h-index is 149 and his lifetime citation count is >84,0001. He has been awarded 20 honorary degrees and 33 academic prizes, and holds >30 patents. He collaborates with outstanding investigators, who will bring to this program skills in basic/translational/clinical oncology, inflammation, metastasis, mouse tumor models, in vivo high through-put screening, drug discovery, molecular pathology, stem cell biology, genomics, epigenomics, and computational biology. Two biotechnology companies will provide investigational IDH inhibitors or synthesize mAbs. Dr. Mak fosters the development of exceptional scientists, and many of his >150 trainees are leaders in academia and industry. An estimated minimum of 20 postdoctoral fellows, 4 clinician-scientists, 6 graduate students and 8 research technicians will receive training during this program. Trainees will work in a technologically superior, multidisciplinary environment that includes access to translational and drug discovery methodologies. Trainees interact daily with senior Mak lab members, participate in weekly lab meetings and monthly theme meetings, and consult regularly with Dr. Mak and external experts. Guidance on experimental design and execution, as well as the preparation of high impact publications and grant proposals, will be provided. Trainees will present seminars on their work in-house, at affiliated institutes, and at national and international conferences. In conclusion, this proposal has the potential to generate novel and biomarker-driven anticancer therapeutics as well as increase Canada’s complement of basic and translational researchers and clinical oncologists.",Tak W Mak,University Health Network
51,Disseminating Nursing Informatics Competencies for Canadian Nurse Leaders ( 2019/20 ),https://cognit.ca/en/research/project/215130,"Many Canadian healthcare organizations have implemented, or are in the process of implementing eHealth systems, like electronic health record systems, to enhance efficiency, effectiveness and safety, as well as support patient participation, education and empowerment. Unfortunately, these organizations have not consistently taken full advantage of their eHealth systems, and therefore many of the potential benefits to patients, families, health professionals, and the healthcare system remain unseen.One explanation for why these benefits have not have been realized is that nurses in Canada have rarely contributed to their design, selection, adoption, use or evaluation despite being the single largest user group of these systems. Nurses, particularly those in senior leadership roles (e.g., Chief Nursing Officer), have the capacity to influence the selection, implementation, use, and evaluation of technologies in a way that could lead to numerous clinical benefits. The aims of the proposed activities are to: 1) Disseminate findings of studies that have identified informatics competencies of importance to Canadian nurse leaders to relevant stakeholder audiences; 2) Obtain the perspectives of nurse leaders on appropriate dissemination strategies for the identified informatics competencies; and, 3) Explore practical strategies for how healthcare organizations, nursing schools and professional nursing organizations can support the dissemination of these competencies.","Leanne Currie, Gillian Strudwick, Brian F Lo, Lynn M Nagle","University of British Columbia, Centre for Addiction and Mental Health, Centre for Addiction and Mental Health, University of New Brunswick"
52,Does the BC Farmers' Market Nutrition Coupon Program improve the dietary behaviours and psychosocial well-being of low-income adults? ( 2018/19-2020/21 ),https://cognit.ca/en/research/project/180001,"Healthy eating is important for good health. However, many low-income Canadians cannot afford to buy enough healthy food. The BC Farmers' Market Nutrition Coupon Program gives low-income seniors and young families 16 weeks of coupons worth $15/week to buy healthy foods in farmers' markets and teaches them about healthy eating. It is not clear if the program is meeting its goals of improving the diets, well-being and health of low-income adults because its impacts have not been studied. This research will study the impact of the BC Farmers' Market Nutrition Coupon Program on what people eat, and their social and mental well-being. It will also try to understand how the program makes these changes and how the program can be improved. We will use a strong study design that can show cause and effect. We will study these things by asking 200 adults who are in the program, and 200 adults who are not in the program, to tell us about the foods they eat, their social relationships, stress levels and general mental well-being. All of these questions will be asked before the program starts, right after it ends, and 16 weeks after it has ended so that we can understand how these things changed during and after the program. A smaller group of 40 adults will be interviewed about their experiences in the program to help us understand how any changes happened, and how the program can be improved. The BC Farmers' Market Nutrition Coupon Program is paid for by taxpayers and so it is important to find out if it is actually helping to improve people's diets and well-being. Information from this study will help the BC government and the BC Association of Farmers' Markets to understand if the program is meeting its goals, how it is doing so, and how the program can be improved. This information can also be used by governments in other provinces and countries to decide if they should start their own farmers' market nutrition coupon programs.","Lindsay Mclaren, Dana Lee Olstad, Shauna M Downs, Kylie Ball, Candace Nykiforuk, Gavin R McCormack, Leia Minaker, Erin Faught, Jennifer L Black, Tolulope T Sajobi, Candace Nykiforuk","University of Calgary, University of Calgary, Rutgers University, Deakin University, University of Alberta, University of Calgary, University of Waterloo, University of Calgary, University of British Columbia, University of Calgary, University of Alberta"
53,Dyscorpia: Intersections of the Body and Technology ( 2018/19 ),https://cognit.ca/en/research/project/184094,"Advancements in biomedicine and digital technology have done much to improve human health and welfare, but this field of scientific innovation has also raised complex legal, ethical and philosophical questions that Canadian society must address. Cutting-edge digital technology and research in the health sciences is upsetting the foundations of liberal democracies, impacting issues around privacy, equality, and the democratic process itself. Perhaps more significantly, these emerging technologies are challenging the very idea of what it means to be human or to have consciousness - particularly in relation to the rapidly expanding field of artificial intelligence. Much of the discourse around these pressing issues can become highly polarized and complex, with the media presenting issues in simplistic black and white terms. Art and creative research has an important role to play in these debates because of its capacity to articulate nuanced emotions, such as anxiety and hope, in a manner that compliments and expands on knowledge translation occurring in other modes of communication, such as academic journals. In this and other ways, creative work can foster knowledge and understanding alongside science that enables society to envision positive responses to technological innovation. Dyscorpia: Future Intersections of the Body and Technology is an innovative interdisciplinary project that brings together creative and academic researchers including scientists, musicians, cultural theorists and visual artists in order to examine the ways contemporary society is reframing the body through precision medicine, artificial intelligence and evolving imaging and communications technologies. Over the last two years this interdisciplinary team has been working collaboratively to produce both academic writing and creative works that investigate the complex ways technology is shifting perceptions on humanity and the human body, as well as speculating on how this technology will transform the body of the future. Funding for this SSHRC Connections Grant will be used to support two public exhibitions of visual/sonic art works, literature, and academic writing, produced by the Dyscorpia research team, as well as invited senior undergraduate and graduate students. Alongside the first of these exhibitions we will also hold a one-day public symposium, and produce a publication of academic writing that will feature reproductions of the research-creation produced in the context of the project. The first exhibition and symposium will take place at Enterprise Square Gallery from (April 20 -- May 15) in downtown Edmonton. Once the initiative in Edmonton is complete, a selection of works will be sent for a second exhibition to the Jyvaskyla Art Museum, Jyvaskyla, Finland and Corps Secrets in Montreal. Professors Caulfield and Oliver will travel to Jyvaskyla to participate in workshops and talks in conjunction with this exhibition. The project leaders for this initiative, Professors Caulfield, Ensslin, and Oliver, all have extensive experience organizing symposiums and exhibitions, including interdisciplinary projects such as Perceptions of Promise, The Body in Question(s), and Immune Nations. One important success that links all of these previous initiatives has been their capacity to foster increased discourse among diverse communities, both within and outside the academy, that do not normally interact. This new interdisciplinary research-creation project will also foster this kind of important cross-community dialogue, raising Canada's profile as an important site for interdisciplinary work exploring the intersections between technology, biomedicine and visual art.","Sean T Caulfield, Astrid C Ensslin, Marilene J Oliver","University of Alberta, University of Alberta, University of Alberta"
57,Electrical and metabolic manifestations of human focal epilepsy ( 2015/16-2020/21 ),https://cognit.ca/en/research/project/147870,"Overarching direction. Many patients with focal epilepsy are refractory to medical treatment. Surgical treatment is then the only option. Defining the region to resect is complex and far from fool proof. Some patients cannot be operated because the focus is not found; in operated patients, the success varies from 40 to 80% according to many factors, most of which are uncertain.My research will center on the concept that human focal epilepsy is not a single uniform disease as most often considered today, but that it is possible to create a classification of focal epilepsies that will lead to improved treatment and a higher probability of finding different underlying mechanisms. Following recent results in experimental temporal lobe epilepsy, with initial confirmation in patients, I propose to define different classes of focal epilepsy, each corresponding to a cluster of features derived from seizure symptoms, imaging/pathological substrate, and functional imaging and electrophysiological signatures. These classes will be related to success/failure of different surgical resections as currently performed, allowing us to provide patients and physicians with critical information about future surgeries: likelihood of success, guidance for resection, and when surgery is not recommended. The classes of focal epilepsy will also define phenotypes that can be studied experimentally, possibly uncovering mechanisms specific to each.Methods. Electrophysiology is the core investigation, reflecting directly the abnormal neuronal activity of epileptic discharges and seizures. We have been among pioneers discovering a new EEG activity, High Frequency Oscillations (HFOs), and demonstrated that HFOs provide better diagnostic information and help understand mechanisms of ictogenesis and epileptogenesis. We will now add single cell recordings combined with human EEG to discover the neural mechanisms likely to underlie epileptic discharges. Structural MR imaging provides the location and possible pathological substrate of the lesion that may cause the epilepsy, in patients showing a lesion. Functional imaging, principally EEG-fMRI, which we also pioneered, provides a unique view of the whole brain at the time of epileptic discharges, allowing the delineation of the epileptic focus as well as network abnormalities.Health outcome. This research should result in a better understanding of focal epilepsy, better outcome of surgery, and possibly investigation into specific mechanisms for the different classes of focal epilepsy that we will define.Core expertise. I have considerable experience in all the areas indicated above, as a pioneer in electrophysiological and functional imaging studies of human epilepsy. I have long-standing collaborations with Program Experts: F. Dubeau, senior epilepsy clinician and neurophysiologist with considerable experience in imaging; M. Avoli, senior neuroscientist and world leader in experimental epilepsy; C. Grova, young investigator specialized in the analysis of EEG and fMRI; and J. Hall, neurosurgeon active in the investigation and surgical treatment of epileptic patients.Mentoring. I plan to continue the pattern of mentoring graduate students and research fellows in neuroscience, neurology and biomedical engineering. This mixture generates active collaborations between disciplines, enriches the training opportunity and has proven productive: all trainees generated peer-reviewed papers, several more than ten.",Jean Gotman,Montreal Neurological Institute
58,Elucidating the molecular mechanisms of regulation of cellular stress sensors ( 2019/20 ),https://cognit.ca/en/research/project/206057,"Responses to stress are an integral part of organism's physiology and biology. Adaptation to stressful conditions is a decisive advantage in the evolutionary struggle for existence. The endoplasmic reticulum (ER) is a centrally located intracellular organelle responsible for many housekeeping functions including the synthesis, folding of proteins and lipids, the storage and release of intracellular calcium. Disruption of ER function caused by many intrinsic or extrinsic factors culminates in ER stress, and the ER mounts a coping response [e.g., unfolded protein response (UPR)] to mitigate or eliminate the stress. The UPR pathways sense ER disturbance and involves distinct components designed to re-establish the protein synthetic machinery, including translational attenuation, transcriptional activation of genes encoding chaperones and components of the ER-associated degradation, and activation of apoptotic and autophagy pathways. There are three ER transmembrane stress sensors that comprise the UPR reaction to ER stress: PERK, ATF6, and IRE1, integral ER proteins with luminal stress sensing domains. Our research program is focused on identifying the molecular mechanisms involved in the regulation of cellular stress sensors.******Long-term objectives of this research are to generate fundamental knowledge regarding molecular mechanisms of stress sensors and to provide unique training opportunity for HQP engaged in the program. Regulation of the luminal sensor domain of UPR by the ER luminal environment remains poorly understood. This research program was initiated in 2014 to address this knowledge gap. We discovered that ER resident proteins (oxidoreductase, cyclooxygenase and calsequestrin) bind to ER luminal stress sensing domain of IRE to affect its cellular signaling. However, the molecular mechanisms governing these interactions are not known. Furthermore, regulation of other ER stress sensors remains to be examined. To address these our research program has three themes focused on reconstituting the mechanistic events in vitro, using recombinant IRE1, PERK and ATF6 luminal domain, in the presence of relevant ER resident proteins; and assessing whether ER luminal environment is involved in this process.******Theme 1. Determine the nature of ER luminal stress sensors***Theme 2. Examine molecular regulation of PERK and ATF6 ER stress sensors***Theme 3. Determine biological importance of ER stress sensors regulation******This research program will yield new insights on ER stress sensors biology, the importance of molecular interaction in stress sensing, as well as advance our general understanding of ER stress coping responses. We also provide outstanding environment for training of HQP in technologies and skills desired by industry and academic job sectors. Longer-term indicators of our success will be percentages of trainees reaching senior, influential positions as academic researchers, industry leaders or government policy makers.**",Marek Michalak,University of Alberta
59,"Enhancing community participation in Canadians with physical disabilities: development, implementation and evaluation of a partnered strategy ( 2013/14-2019/20 )",https://cognit.ca/en/research/project/107205,"Canadians with physical disabilities do not fully enjoy the UN-protected basic right to ""full and effective participation and inclusion in society."" Indeed, many Canadians with physical disabilities report disrupted levels of participation in several important aspects of community life such as employment, sports and active recreation, and simply being able to move about their communities independently and with dignity (i.e., community mobility). As a result, not only do people with physical disabilities have lower rates of community participation than their able-bodied counterparts, their quality of participation (e.g., enjoyment, satisfaction) is also poorer. The goal of our 7-year program of research and knowledge mobilization (KM) is to enhance the quantity and quality of community participation among Canadians living with physical disabilities by developing, mobilizing and evaluating theory- and evidence-based strategies to enhance community participation. Our research and KM program will focus on three community participation domains that people with physical disabilities consistently identify as being the most restrictive, as well as the domains in which they most desire greater participation: employment, mobility, and sports. In addition to addressing the number (i.e., quantity) of people who participate, our efforts will also focus on understanding and enhancing the psychosocial quality of participation (e.g., feelings of meaningful engagement, autonomy, responsibility, and social connectedness). Specific research and KM projects are designed around fundamental, evidence-based principles of KM and will address the following themes: (1) describing and understanding participation, its barriers and facilitators in the disability community, (2) Identifying effective KM methods, (3) Creating interventions/practices to enhance participation, and (4) Implementing & evaluating the interventions/practices. These thematic objectives will be addressed for each community participation domain addressed in this proposal: Employment, Mobility, & Sport. Some projects will be conducted in a single domain, while several projects cut across domains, integrating researchers from different fields of study. Research and KM activities will be carried out by an international multidisciplinary, cross-sectoral partnership that synergizes the research expertise of over 20 junior- mid- and senior-career academics, with the front-line experience of 20 community-based disability-related service groups, organizations, foundations and a private sector partner with mandates to advocate for and assist Canadians with disabilities to achieve full community participation. Community and academic partners will work together to address community-driven research questions, co-creating new knowledge that can be turned into products, tools and services, that partners can take ownership and pride in using and disseminating. Our program of ongoing collaboration and mutual learning will foster innovative research, training, and new knowledge that will be rapidly and effectively disseminated to key stakeholders. Indeed, our partnership is poised to generate social science research that will have a profound impact on community participation among the nearly 3 million Canadians living with physical disabilities. The social and economic significance of these activities cannot be overstated; when people with physical disabilities are full participants in their communities, all Canadians benefit from a stronger, more competitive society in which everyone can use their talents, skills and resources. Confidence in our partnership is recognized by our university and community partners who have pledged over $3,250,000 to our activities.","Habib Chaudhury, Rebecca L Bassett-Gunter, William B Mortenson, Louise Demers, Catherine E Connelly, Jaimie F Borisoff, Jean Côté, Julie Horrocks, Silvia Bonaccio, Ian R Gellatly, François Routhier, James H Rimmer, Sean M Tucker, Luc Noreau, William C Miller, Janice Eng, Shane N Sweet, Monique .M A Gignac, Atiya N Mahmood, Brett M Smith, Mary Ann H McColl, Mark R Beauchamp, Steven R Bray, Arif Jetha, Kelly P Arbour, Amy E Latimer, Blair Evans, Kelly P Arbour-Nicitopulos, Amy E Latimer-Cheung, Jennifer R Tomasone, Susan J Forwell, Heather Louise Gainforth, Sandy Fisher, Brett M Smith, Mary Ann H Mccoll","Simon Fraser University, York University, University of British Columbia, University of Montreal, McMaster University, British Columbia Institute of Technology, Queen's University, University of Guelph, University of Ottawa, University of Alberta, Laval University, University of Alabama at Birmingham, University of Regina, Laval University, University of British Columbia, University of British Columbia, McGill University, University of Toronto, Simon Fraser University, Loughborough University, Queen's University, University of British Columbia, McMaster University, McMaster University, University of Toronto, Queen's University, Pennsylvania State University, University of Toronto, Queen's University, Queen's University, University of British Columbia, University College London, Clarkson University, University of Birmingham, Queen's University"
60,Equity in Emergency Department Utilization in Alberta for Priority Populations during the COVID-19 Pandemic: Exploring Impacts of Changes to Healthcare and Healthcare Utilization through Administrative Data Analysis and Nominal Group Techniques ( 2020/21 ),https://cognit.ca/en/research/project/232420,"Alberta has seen a marked decrease in emergency department presentations while pandemic control measures have been in place. In addition to public health measures including physical distancing, many patients who perceive hospitals as high-risk environments and may avoid emergency department visits, even when seriously ill. This can lead to health issues becoming worse and harder to manage. Harms associated with decreased emergency department use may be greater for some populations, who rely more heavily on emergency departments for their care. Frequent users of emergency departments are more likely to be low income and to be older. In Alberta and British Columbia, First Nations individuals utilize emergency departments at a much higher rate than non-First Nations individuals. This study builds on an existing emergency medicine research partnership with the Alberta First Nations Information Governance Centre, as well as connections to operational (Alberta Health Services) and research leaders in the areas of emergency medicine, seniors care and population health. Through information collected by the Alberta health system, we will compare emergency department use during the initial months of the pandemic to information collected last year. Among other outcomes, we will consider how numbers of ED visits, hospital admissions, deaths in ED and other serious conditions have changed during the pandemic. We will then determine if changes have been greater for First Nations, socially and materially deprived, remote and older populations than for the general population. Through structured engagement with patients, clinicians and health systems leaders, we will share findings and develop understandings of results. Highlighting harms and inequities arising from pandemic-driven changes in care patterns and systems will allow policy- and decision-makers to reduce the negative consequences of efforts to manage COVID-19.","Cheryl C Barnabe, Greta Cummings, Rhonda J Rosychuk, Eddy S Lang, Patrick McLane, Grant D Innes, Rita I Henderson, Brian R Holroyd, Brian R Holroyd, Jake Hayward","University of Calgary, University of Alberta, University of Alberta, University of Calgary, University of Alberta, University of Calgary, University of Calgary, University of Alberta, University of Alberta, University of Alberta"
61,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),https://cognit.ca/en/research/project/179618,"The aim of the proposed planning activities is to establish an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence (AI) on the health of people living with substance use disorders (SUD). There is a growing body of evidence indicating that the healthcare needs of people living with SUD are not being fully met by the existing health system. Significant obstacles remain, particularly with regards to the challenges associated with optimizing treatment and care planning for a population that typically present to healthcare with a number of complex and co-occurring conditions (e.g., HIV, viral hepatitis, mental health issues). The growing investment in AI presents a unique opportunity to redefine how data is used in health, with potential for significant impact on patient care and the health of populations. While holding great promise, it is unclear what the societal implications are when applying these technologically advanced approaches to population and public health, particularly as it pertains to traditionally marginalized populations such as people living with SUD. Our proposed planning grant will bring together a new team of early-career, mid-career, and senior researchers, as well as knowledge users, to catalyze a program of research that revolves around the health equity implications of the use of AI approaches in health planning and decision making.","Lianping (Mint Ti, Rodney E Knight, Jean A Shoveller, John Coggon, Jeffrey Joy, .M A Viens","University of British Columbia, University of British Columbia, University of British Columbia, University of Southampton, University of British Columbia, University of Southampton"
62,Exploring the cognitive underpinnings of hoarding ( 2015/16-2020/21 ),https://cognit.ca/en/research/project/150137,"Hoarding disorder is a newly defined diagnostic category that affects as many as 1.5 million Canadians. Although hoarding appears on the surface (and perhaps on TV shows) to be a simple problem of poor housekeeping, the disorder involves substantial functional impairment including severe social isolation and inability to sustain minimal standards of home maintenance. Seniors and low-income renters are particularly vulnerable to threat of eviction and accidents in the home. The hallmark symptom of hoarding disorder is extreme emotional distress about, and avoidance of, discarding objects most people would let go of. As a result, the home becomes too full to use some or all of the rooms for their intended purpose. Possessions in the home become extremely disorganized, with important (e.g., passport) and unimportant (e.g., out-dated sales flyers) items mixed together. Intervention for hoarding is complex, and the most effective intervention tested thus far has shown only modest effects despite an enormous investment of resources. Limited understanding of the cognitive processes involved in decisions to acquire and discard possessions in turn limits the degree to which treatment can effectively target these processes. This research will determine the cognitive underpinnings of two key features of hoarding: excessive valuing of objects and extreme disorganization of the home. Five studies are proposed to investigate aspects of cognitive functioning as they relate to hoarding behaviour. In relation to the psychology of ownership, we focus on attention and memory as well as specific types of judgment and decision-making. We also examine whether hoarding involves deficits in executive functioning (e.g., concept formation, impulse control). The results will directly impact the development of more efficacious and cost-effective approaches to treatment as well as provide clues into the neuroscience behind hoarding and related disorders.","Sheila R Woody, Daniel Bartels, Todd C Handy, Mahesh Menon","University of British Columbia, University of Chicago, University of British Columbia, University of British Columbia"
63,Extending the validation and reliability testing of SCREEN a nutrition risk screening tool for community-living seniors. ( 2020/21 ),https://cognit.ca/en/research/project/230101,"In the past 20 years there has been a rapid growth in the number of persons living with cognitive impairment or dementia in the community. Similarly, retirement homes have grown in prominence as a way of providing care for those who can no longer live independently. Both of these groups are prone to nutrition problems; poor food intake and weight loss are associated with several adverse outcomes such as falls and hospitalizations, as well as the progression of dementia. Determining which older adults are at nutrition risk will allow the health care system to target interventions and start early treatment that can improve their overall health and independence. Yet, nutrition screening tools specific to these groups are unavailable. SCREEN is a questionnaire that was created in Canada and is used worldwide to measure nutrition risk. However, SCREEN was not tested in those with cognitive impairment or living in retirement residences. The proposed study will determine if SCREEN is valid for use with these two groups of community-living seniors. Persons living with cognitive impairment (and their family member) and persons living in retirement homes will be recruited. Participants (~ 600) will complete SCREEN and other health measures and a dietitian will determine the nutrition risk of the participant based on an assessment. SCREEN results will be compared to this assessment to determine if it adequately represents nutrition risk. Availability of a feasible nutrition risk tool that can be used with all community-living seniors, including those with dementia and/or living in retirement homes will promote screening in family doctors' offices, retirement homes and other clinics, which is currently absent. Early identification of nutrition problems will promote the development and use of preventative services to improve senior health, potentially delaying or avoiding frailty and increased use of healthcare services by these vulnerable older adults.","Heather H Keller, George A Heckman, Linda Lee, Christina O Lengyel, Marina Mourtzakis, Jill M Morrison, Alison M Duncan","University of Waterloo, University of Waterloo, McMaster University, University of Manitoba, University of Waterloo, University of Waterloo, University of Guelph"
65,Financial disclosures and corporate governance ( 2018/19 ),https://cognit.ca/en/research/project/183441,"Shares and bonds of publicly traded corporations are the largest avenues for citizens' savings and investments. These corporations are so important that their aggregate market capitalization exceeds nation's income. However, they are characterized by the separation of ownership and control. Their equity shares may be owned by millions of widely dispersed individuals, called shareholders, but their operations are controlled by a small group of professional managers. This separation causes a divergence of interests between managers and shareholders. For example, managers may prefer to spend surplus cash on assets that increase the size of the corporation in order to enjoy better perquisites that come with managing a larger company, even if the larger size comes at the cost of pursuing unprofitable projects. However, the widely dispersed, atomistic shareholders have little direct influence over the company's affairs, to check managers' behavior. Public shareholders use two policy instruments to protect their interests. First, they elect a board of directors that controls, monitors, and guides managers on their behalf. Of particular importance are outside directors who are independent and not the executives of their governed companies. Second, investors seek financial reports, which consist of accounting numbers calculated using generally accepted accounting (GAAP). In addition, firms provide textual narratives to explain their business and reported numbers. Those narratives, also called disclosures, convey relevant information to shareholders. But, they also reduce a firm's competitive advantage by revealing sensitive information to its competitors. Outside directors, representing a potent governance mechanism, might enable a firm to reach the right balance between the costs and benefits of voluntary disclosures. Past literature finds mixed and controversial evidence on the association between outside directors and voluntary corporate disclosures. We hypothesize that the outside directors do not represent a homogeneous group of people as previously considered in the literature. An outside director's professional expertise and experience could shape her assessment of costs and benefits of disclosures as well as the investors' demands for disclosures. We plan to examine a sample of biotechnology firms to examine whether the aforesaid association differs based on directors' professional backgrounds. We shall hand-collect data on their professional backgrounds and classify them into three categories. Business experts are current or past senior officers of other companies. Support specialists (e.g., consultants, lawyers, or bankers) are experts in functional areas and are managers at their own ""vertical"" companies. Community influentials lack both senior management and general business experience, but they provide non-business perspectives on issues, problems and ideas. We shall identify whether the influence of outside directors on firm characteristics differs based on the background characteristics of outside directors. Since the board of directors and financial disclosures are among the most potent mechanisms to protect shareholder interests, our study will have policy implications. It might suggest that organizations seeking to promote corporate governance by creating optimal board structures, such as the California Public Employees' Retirement System (CalPERS) and Institutional Shareholder Services (ISS), must not treat all outside directors as equal. Instead, they must consider the outside directors' professional backgrounds, to be consistent with the governed firms' innate or targeted disclosure polices.","Anup Srivastava, Luminita Enache","University of Calgary, University of Calgary"
