,title,author,university,link,body,polarity
10,Canadian Frailty Network - Technology Evaluation in the Elderly Network (TVN) ( 2017/18-2020/21 ),John Muscedere,Queen's University,https://cognit.ca/en/research/project/151844,"Canadian Frailty Network (CFN) is Canada's Networks of Centres of Excellence (NCE) focussed on frailty, a common yet under-recognized health state associated with functional decline, chronic illness, multiple health problems, cognitive impairment and poorer health outcomes in late life. Recognizing the growing prevalence of frailty and the dearth of research evidence to address the complex care needs of frail elderly Canadians, in 2012 NCE awarded CFN (Technology Evaluation in the Elderly Network) a funding mandate to improve the care of frail elderly Canadians and their families within the Canadian healthcare system through the development, rigorous evaluation and ethically-guided implementation of evidence-informed care strategies and practices. The burden of frailty in Canada is steadily growing. Today, approximately 25% of seniors over age 65 and 50% past 85 – over one million Canadians – are medically frail. These individuals are at higher risk for poor health outcomes, adverse events and mortality than would be expected based on their age alone. Frail elderly Canadians are over-represented in all sectors of the healthcare system including primary care, community and residential care, acute care and end-of-life care, and frailty is associated with increased healthcare resource consumption. In 10 years, based on population growth it is estimated that well over two million Canadians will be living with frailty and this growing population is both under-recognized and under-serviced, challenging the healthcare system to improve the quality and quantity of care delivered.",-0.00952380952380953
11,Canadian Frailty Network (legal name: Technology Evaluation in the Elderly Network) ( 2017/18-2019/20 ),John Muscedere,Queen's University,https://cognit.ca/en/research/project/16334,No summary,0.0
12,Préserver le lien des résidents en ESLD atteints de troubles cognitifs avec leurs proches en contexte de pandémie : évaluation de la mise en uvre et des effets d'interventions virtuelles et en personnes ( 2020/21 ),Clémence Dallaire,Laval University,https://cognit.ca/en/research/project/232682,"Au Quebec, pres de 70 % des deces lies a la COVID-19 sont des personnes vivant en etablissements de soins de longue duree (ESLD). Les restrictions imposees pour diminuer la transmission du virus ont des effets deleteres sur les personnes agees et des consequences sur les proches aidants. Afin d'attenuer les effets negatifs, differentes strategies sont utilisees pour preserver des contacts avec les proches et ainsi promouvoir des actions protectrices de l'etat mental et physique des aines. Toutefois, l'evaluation de la mise en uvre et des effets d'interventions novatrices en contexte de pandemie chez des personnes agees atteintes de troubles cognitifs n'ont pas ete etudies a ce jour au Canada. En collaboration avec 5 ESLD partenaires, le but du projet est d'evaluer le processus de mise en uvre, la viabilite et l'acceptabilite d'interventions visant a privilegier la presence des proches (en personne ou virtuellement), ainsi que les effets chez les residents, leurs proches et les couts relies. Un devis de recherche evaluatif est privilegie. Une etude de cas multiples sera utilisee pour decrire la realite des milieux et des acteurs cibles, saisir les relations complexes entre les differents facteurs, documenter le degre et la variabilite de l'implantation dans les differents milieux et leurs resultats. Des residents atteints de troubles cognitifs, leur proche aidant et des membres de l'equipe de soin seront recrutes dans chacun des milieux. Des interventions permettant de preserver les contacts avec les proches et soutenus par le milieu de vie peuvent attenuer les repercussions de l'isolement et avoir un impact considerable sur l'anxiete, les symptomes cognitifs et comportementaux et la qualite de vie. En donnant la parole aux aines, aux proches et au personnel de soins, la documentation de l'acceptabilite viendra ajouter des preuves que des interventions adaptees, empreintes d'humanite sont viables et pertinentes dans les ESLD.",0.0
13,Préserver le lien des résidents en ESLD atteints de troubles cognitifs avec leurs proches en contexte de pandémie : évaluation de la mise en uvre et des effets d'interventions virtuelles et en personnes ( 2020/21 ),Clémence Dallaire,Laval University,https://cognit.ca/en/research/project/232683,"Au Quebec, pres de 70 % des deces lies a la COVID-19 sont des personnes vivant en etablissements de soins de longue duree (ESLD). Les restrictions imposees pour diminuer la transmission du virus ont des effets deleteres sur les personnes agees et des consequences sur les proches aidants. Afin d'attenuer les effets negatifs, differentes strategies sont utilisees pour preserver des contacts avec les proches et ainsi promouvoir des actions protectrices de l'etat mental et physique des aines. Toutefois, l'evaluation de la mise en uvre et des effets d'interventions novatrices en contexte de pandemie chez des personnes agees atteintes de troubles cognitifs n'ont pas ete etudies a ce jour au Canada. En collaboration avec 5 ESLD partenaires, le but du projet est d'evaluer le processus de mise en uvre, la viabilite et l'acceptabilite d'interventions visant a privilegier la presence des proches (en personne ou virtuellement), ainsi que les effets chez les residents, leurs proches et les couts relies. Un devis de recherche evaluatif est privilegie. Une etude de cas multiples sera utilisee pour decrire la realite des milieux et des acteurs cibles, saisir les relations complexes entre les differents facteurs, documenter le degre et la variabilite de l'implantation dans les differents milieux et leurs resultats. Des residents atteints de troubles cognitifs, leur proche aidant et des membres de l'equipe de soin seront recrutes dans chacun des milieux. Des interventions permettant de preserver les contacts avec les proches et soutenus par le milieu de vie peuvent attenuer les repercussions de l'isolement et avoir un impact considerable sur l'anxiete, les symptomes cognitifs et comportementaux et la qualite de vie. En donnant la parole aux aines, aux proches et au personnel de soins, la documentation de l'acceptabilite viendra ajouter des preuves que des interventions adaptees, empreintes d'humanite sont viables et pertinentes dans les ESLD.",0.0
14,Derivation of a clinical decision rule for emergency department head CT scanning in seniors who have fallen. ( 2018/19-2020/21 ),Marcel Emond,Centre hospitalier de l'Université Laval,https://cognit.ca/en/research/project/180848,"There is very little research on diagnosing serious head injury (brain bleeds) in the elderly. One in three seniors experiences a fall each year and half of these people are treated in the emergency department. Almost all serious head injuries in older adults are caused by falling, and one case in six is fatal. Although falls are common for seniors, only 5% of those who are seen in the emergency department have a brain bleed. Over half of the seniors who go to the emergency department after a fall have a head CT scan. Currently, very few head scans done in the emergency department are positive for a brain bleed and the diagnosis is initially missed in 1 in 5 patients with a brain bleed. Ordering a head scan can prolong the emergency department stay by several hours. The emergency department can be an unpleasant and uncomfortable environment. We will create a new test (a clinical decision rule) which tells emergency doctors whether a head scan is needed or not. We will ensure that this new rule is safe. The rule will identify everyone who has a brain bleed, but will also lead to fewer head scans overall. This will allow patients with brain bleeds to receive the care they need and avoid unnecessarily long waits in the emergency department for those who do not have a brain bleed. Our study will follow 4000 people over the age of 65, who are treated in emergency departments across Canada after a fall. The emergency doctor will collect information about the risks of having a brain bleed and will follow a protocol for ordering a head scan. We will follow each patient for 6 weeks, to determine whether they are diagnosed with bleeding in the brain or not. We will use this information to develop a simple and safe test designed to guide emergency head scanning and improve the quality of care offered to seniors.",-0.06367063492063492
15,Reducing post-discharge adverse drug events amongst the elderly: a multi-centre electronic deprescribing intervention ( 2016/17-2019/20 ),David L Buckeridge,McGill University,https://cognit.ca/en/research/project/152957,"Polypharmacy, or the concomitant use of 5 drugs or more, is a serious health concern and affects more than half of Canadians aged 65 years and older. It is the number one identifiable risk factor for adverse drug events (ADEs), which are responsible for 27,000 hospital admissions annually in Canada and up to 20% of return visits to the hospital within 30 days of discharge. Many ADEs are preventable or ameliorable through interventions to reduce inappropriate prescribing. Our intervention applies an electronic set of criteria, previously designed and piloted by a group of Ontario geriatricians, internists, palliative care doctors and pharmacists, to identify potentially inappropriate medications (PIMs) in the hospitalized elderly. We will update existing software called MedSafer, which identifies PIMs and generates instructions for the patient and physician for safe discontinuation, with these criteria. Our study seeks to partially automate the deprescribing process and to demonstrate the efficacy of this type of intervention on important patient outcomes. At the time of hospitalization, the patient's medications, comorbidities, and a measure of frailty will be entered into the MedSafer software which will output an individualized and prioritized deprescription plan for the most responsible physician's consideration. Any subsequent medication changes will be transmitted to relevant community physicians. We will evaluate the impact of stopping PIMs on the occurrence of ADEs within 30 days of discharge, as compared to usual care. Nine hospitals from six university-affiliated medical centres across Canada will participate in this three year study. Our intervention could eventually be broadly deployed and ultimately become best practice for hospitalized elderly patients in Canada.",0.17010869565217393
16,"Impacts of COVID-19 on Virtual Elder-led Supports for Survivors of Violence: Participatory Approaches to Response, Evaluation, and Recovery ( 2020/21 )",Chaneesa R Ryan,McMaster University,https://cognit.ca/en/research/project/232945,"Little has been documented about the impacts, adaptation, resiliency, leadership, and effectiveness of Indigenous-led virtual support programs that have arisen during the COVID-19 pandemic. Immediate research is needed to evaluate the impacts COVID-19 has had on the development and delivery of virtual Elder-led supports for Elders, Grandmothers, knowledge keepers, and Indigenous survivors of violence, particularly as COVID-19 countermeasures have exacerbated pre-existing health and social inequities, deepened social isolation, and restricted Indigenous ceremonies (UN, 2020). Our community-based, Indigenous-led research team proposes the upscaling, delivery, and evaluation of the ""Virtual Resilience & Wellness Journey Program Pathway"" at the Native Women's Association of Canada (NWAC)'s Resiliency Lodge, an Elder-led program that provides distinctions-based, land-based, culturally-safe, trauma-informed support online for Indigenous women, two-spirit, and gender-diverse people healing from trauma and violence. We propose the use of participatory action methodologies with Elders, Grandmothers, Knowledge Holders, Resiliency Lodge staff, and other Indigenous-led virtual support programs in Canada to address the research questions: What are the impacts of COVID-19 on the development and delivery of Elder-led support services? How are these Elder-led support services adapting to the impacts of COVID-19? How can we engage Elders and other Knowledge keepers in the development of culturally and contextually relevant evaluation framework to evaluate best practices for virtual Indigenous-led support? Our research approach ensures research findings address critical gaps in knowledge of culturally safe COVID-19 prevention, preparedness, response and recovery strategies, accelerates community-led knowledge, and strengthens Elder-led program infrastructure for communities on the frontlines of culturally safe violence prevention and intervention.",0.1842948717948718
17,Developing a comprehensive understanding of elder abuse prevention in immigrant communities ( 2015/16-2019/20 ),Guida C Man,York University,https://cognit.ca/en/research/project/107947,"Background: Older adults are the fastest-growing age group in Canada. In 2011, an estimated 5 million Canadians were 65 or older, and by 2050, about one in four Canadians is expected to be 65 or over. Elder abuse is already a growing problem with significant societal implications and, given these demographics, is critical to address. Scholars are increasingly focusing on elder abuse, but little is known about the risk factors -- which include complex social variables -- for elder abuse within immigrant communities or what interventions might best prevent elder abuse in these communities. Purpose: The purpose of this multidisciplinary study is: first, to develop a comprehensive classification of risk factors for elder abuse in immigrant communities: because immigrants represent an increasingly large proportion of older adults in Canada, it is critical to clarify these complex variables and how they combine to increase older immigrants' risk of elder abuse; and second, to identify the most appropriate and culturally relevant strategies to address the risk factors in immigrant communities in Canada. The study builds on the literature and our own work in this area, and addresses a knowledge, policy, and practice gap identified by various stakeholders across Canada. Theoretical approaches: Theoretically, our study is guided by the intersectionality perspective and an ecological framework, allowing us to critically examine the complexity surrounding multiple dimensions of social identity (e.g., gender, race, class, culture, immigration status) and how these interrelate at the micro (individual and family), meso (community), and macro (societal) levels. Consistent with this theoretical framework, we will use a collaborative, community-based, mixed-methods approach to enable stakeholders to actively determine where research should be conducted, which factors are relevant to abuse, and strategies consistent with cultural beliefs, values, and preferences of the immigrant communities. Research plan: We will conduct structured group interviews with older women and men who have experienced abuse, family members, and formal and informal leaders from immigrant communities, and social and settlement service providers in the Greater Toronto Area. We will include two established and two recent communities from both the East Asian and South Asian immigrant communities: Chinese, Korean, Punjabi, and Tamil. Our team has expertise conducting research on elder abuse in immigrant communities in Canada, has well-established working relationships with these communities, and has conducted research of this scale on related topics. Quantitative and qualitative data collected via structured group interviews will be analyzed at the level of particular group interview, subgroups, and communities, and will be integrated across communities to identify common and unique risk factors and intervention strategies. We will pay particular attention to various social dimensions including gender, age, culture, length of stay in Canada, fluency in English, employment and income, and extended family co-residence. Potential impact: The proposed approach is comprehensive in that it will incorporate local knowledge and expert contributions from immigrant women and men, family members, community members, and service providers and policymakers at each phase of the study. As a result, the findings will be relevant so as to contribute to the well being and social needs of older men and women in immigrant communities. The findings will contribute empirically and theoretically, as well as to policy debate and practice change, which will have local, national, and international significance.",0.12870258272800647
18,Transnational Migration and Social Reproduction: Eldercare Work of Chinese Immigrant Women Professionals in Canada ( 2019/20 ),Guida C Man,York University,https://cognit.ca/en/research/project/226957,No summary,0.0
19,Learning from Our Elders: Indigenous Perspectives of Gender in Harvesting and Gathering ( 2020/21 ),Alexandra King,University of Saskatchewan,https://cognit.ca/en/research/project/230475,"Culturally relevant gender-equal approaches embedded in Indigenous ways of knowing and doing promotes equality and addresses gendered impacts of colonialism. Western research approaches fail to account for or value Indigenous worldviews of male-female balance, reciprocity, interdependence and respect, and Two-Spirit people. Knowledge and understanding of Indigenous concepts/roles of gender and how they affect wellness are often not included in research, yet this is critical in relation to identity and community belonging and wellness. Working with our current six Friendship/Metis Centers (FC/MC) partner communities within the BC Interior, they are ready to identify and prioritize community-specific initiatives for youth wholistic wellness. Research Goal: To explore the relationship between gender, wellness and cultural traditions of land-based activities and ceremony related to harvesting for Indigenous Peoples living in urban rural centers. This work will better support Traditional Indigenous principles of gender balance, cultural respect, and consideration for complexities of roles and responsibility, culture, geography, and other factors unique to each community. Indigenous and Western Knowledge and ways of knowing, education, knowledge and understanding of urban rural contexts of youth and gender will be broadened by community member-led activities such as community gatherings, Talking Circles, and other activities for knowledge sharing. These teachings will build a cross generational gender-based perspective to help identify incorrect assumptions, highlight multiple barriers they face and begin to address gender equality issues. Outcomes: To better understand the influence of sex and gender on the health of Indigenous women/girls and men/boys throughout life, and to apply these research findings in identifying and addressing health challenges as a pathway to optimal health.",0.06195652173913044
20,Indigenous Knowledge Development Centres with a focus on Wellness - miyo-pimâtisiwin ( 2019/20-2020/21 ),Alexandra King,University of Saskatchewan,https://cognit.ca/en/research/project/213265,"In Canada, most health research is focused on a disease or deficit end-point, whether designing, testing or implementing interventions, treatments or preventive measures. The focus of this Indigenous knowledge development project is on wellness - promoting, maintaining and re-gaining wellness, by itself, or in the context of a variety of conditions or life circumstances that First Nations, Inuit and Metis peoples may find themselves. There is much Indigenous health and wellness knowledge/wisdom that has yet to be re-awakened, and in fact, cannot be well-supported in our current colonized structures and conceptualizations. To do so will take the development and re-development of roles and processes within community. It is within this context that we see Indigenous community as being the primary research leader, with the academy and the health system as being knowledge users. We propose a network of Indigenous health knowledge development centres. These centres will be grounded in the land and in culture, with land-based Indigenous research methodologies a critical component of the network. Using a health determinants approach and working with communities of Indigenous people including Elders, Knowledge Holders, youth, researchers and health workers, we will explore what makes Indigenous people well, what keeps them well, and how Indigenous wellness can be achieved or re-gained and maintained through practices and interventions based on traditional and western knowledge. Through meaningful engagement between academic centres and Indigenous communities, our network of knowledge development centres will increase and build on our understanding of wellness. In the words of the Elder: ""Let's research ourselves back to life.""",0.16818181818181818
