,Unnamed: 0,title,author,university,link,body
12,12,The University of Nairobi Collaborative HIV/AIDS Research Group Annual Meeting 2020 celebrating 40 Years of collaboration with the University of Manitoba ( 2019/20 ),Lawrence J Gelmon,University of Manitoba,https://cognit.ca/en/research/project/215172, 
13,13,Using photovoice to capture the housing-related needs of Vietnamese seniors in the GTA ( 2018/19 ),Anh P Ngo,Wilfrid Laurier University,https://cognit.ca/en/research/project/187391, 
14,14,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Lisa R Dolovich,University of Toronto,https://cognit.ca/en/research/project/147498, 
15,15,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Lisa R Dolovich,University of Toronto,https://cognit.ca/en/research/project/149399, 
16,16,SPOR Evidence Alliance ( 2017/18-2020/21 ),Lisa R Dolovich,University of Toronto,https://cognit.ca/en/research/project/148673, 
17,17,The University of Nairobi Collaborative HIV/AIDS Research Group Annual Meeting 2020 celebrating 40 Years of collaboration with the University of Manitoba ( 2019/20 ),Stephen Moses,University of Manitoba,https://cognit.ca/en/research/project/215172, 
18,18,The University of Nairobi Collaborative HIV/AIDS Research Group Annual Meeting 2020 celebrating 40 Years of collaboration with the University of Manitoba ( 2019/20 ),Stephen Moses,University of Manitoba,https://cognit.ca/en/research/project/215172, 
19,19,Programme de promotion du «bien vivre ensemble» et de lutte contre la maltraitance entre résidents : Améliorer la vie collective en résidence privée pour aînés ( 2018/19-2019/20 ),Mélanie Levasseur,Université de Sherbrooke,https://cognit.ca/en/research/project/187144, 
20,20,Programme de promotion du «bien vivre ensemble» et de lutte contre la maltraitance entre résidents : Améliorer la vie collective en résidence privée pour aînés ( 2018/19-2019/20 ),Hélène Carbonneau,Université du Québec à Trois-Rivières,https://cognit.ca/en/research/project/187144, 
21,21,Re-Sounding Difference: Creating Accessible Music Theatre for Children with Exceptionalities and Senior Citizens ( 2018/19 ),Julia E Brook,Queen's University,https://cognit.ca/en/research/project/183551, 
22,22,Indigenous Older Adults' Perspectives on Aging Well in an Urban Community in Canada ( 2018/19 ),Lauren A Brooks,University of Ottawa,https://cognit.ca/en/research/project/180968, 
23,23,Re-Sounding Difference: Creating Accessible Music Theatre for Children with Exceptionalities and Senior Citizens ( 2018/19 ),Colleen L Renihan,Queen's University,https://cognit.ca/en/research/project/183551, 
24,24,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Jenny Ploeg,McMaster University,https://cognit.ca/en/research/project/182213, 
25,25,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Jenny Ploeg,McMaster University,https://cognit.ca/en/research/project/149399, 
26,26,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Sharon E Straus,University of Toronto,https://cognit.ca/en/research/project/147498, 
27,27,SPOR Evidence Alliance ( 2017/18-2020/21 ),Sharon E Straus,University of Toronto,https://cognit.ca/en/research/project/148673, 
28,28,Understanding the effectiveness and underlying mechanisms of interventions for socially frailty older adults: A systematic review alongside a realist review ( 2020/21 ),Sharon E Straus,University of Toronto,https://cognit.ca/en/research/project/231284, 
29,29,"Understanding how vulnerable older adults (are new immigrants, Indigenous, have mild-to-moderate dementia or identify as LGBTQ) experience social isolation and loneliness ( 2019/20-2020/21 )",Sharon E Straus,University of Toronto,https://cognit.ca/en/research/project/215737, 
30,30,"COMPOSITIONS FOR PROMOTING READTHROUGH OF PREMATURE TERMINATION CODONS, AND METHODS OF USING THE SAME ( 2016/17-2036/37 )",Michel Roberge,University of British Columbia,https://cognit.ca/en/ip/patent/58385464, 
31,31,CIHR/Schlegel Industrial Research Chair for Colleges in Seniors' Care ( 2017/18-2020/21 ),Barbara Fennessy,Conestoga College Institute of Technology and Advanced Learning,https://cognit.ca/en/research/project/153362, 
32,32,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Jayna M Holroyd-Leduc,University of Calgary,https://cognit.ca/en/research/project/182213, 
33,33,Understanding the effectiveness and underlying mechanisms of interventions for socially frailty older adults: A systematic review alongside a realist review ( 2020/21 ),Jayna M Holroyd-Leduc,University of Calgary,https://cognit.ca/en/research/project/231284, 
34,34,Social frailty interventions that can best support vulnerable older adults during the COVID-19 pandemic: A rapid review ( 2020/21 ),Jayna M Holroyd-Leduc,University of Calgary,https://cognit.ca/en/research/project/232387, 
35,35,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Wanrudee Isaranuwatchai,St. Michael's Hospital,https://cognit.ca/en/research/project/147498, 
36,36,SPOR Evidence Alliance ( 2017/18-2020/21 ),Wanrudee Isaranuwatchai,St. Michael's Hospital,https://cognit.ca/en/research/project/148673, 
37,37,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Wanrudee Isaranuwatchai,St. Michael's Hospital,https://cognit.ca/en/research/project/147498, 
38,38,SPOR Evidence Alliance ( 2017/18-2020/21 ),Wanrudee Isaranuwatchai,St. Michael's Hospital,https://cognit.ca/en/research/project/148673, 
39,39,Understanding the effectiveness and underlying mechanisms of interventions for socially frailty older adults: A systematic review alongside a realist review ( 2020/21 ),Wanrudee Isaranuwatchai,St. Michael's Hospital,https://cognit.ca/en/research/project/231284, 
40,40,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Jemila Hamid,Children's Hospital of Eastern Ontario Research Institute,https://cognit.ca/en/research/project/147498, 
41,41,SPOR Evidence Alliance ( 2017/18-2020/21 ),Jemila Hamid,Children's Hospital of Eastern Ontario Research Institute,https://cognit.ca/en/research/project/148673, 
42,42,Social frailty interventions that can best support vulnerable older adults during the COVID-19 pandemic: A rapid review ( 2020/21 ),Jemila Hamid,Children's Hospital of Eastern Ontario Research Institute,https://cognit.ca/en/research/project/232387, 
43,43,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),Lianping (Mint Ti,University of British Columbia,https://cognit.ca/en/research/project/179618, 
44,44,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Jemila Hamid,Children's Hospital of Eastern Ontario Research Institute,https://cognit.ca/en/research/project/147498, 
45,45,SPOR Evidence Alliance ( 2017/18-2020/21 ),Jemila Hamid,Children's Hospital of Eastern Ontario Research Institute,https://cognit.ca/en/research/project/148673, 
46,46,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Suzette C Bremault-Phillips,University of Alberta,https://cognit.ca/en/research/project/182213, 
47,47,"COVID-19 Physical Distancing and Post-Traumatic Stress Injury: Utilization of Digital Health and Remote Mental Health Services for Military, Veterans, and Public Safety Personnel ( 2020/21 )",Suzette C Bremault-Phillips,University of Alberta,https://cognit.ca/en/research/project/231788, 
48,48,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Jasneet Parmar,University of Alberta,https://cognit.ca/en/research/project/182213, 
49,49,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Wendy Duggleby,University of Alberta,https://cognit.ca/en/research/project/182213, 
50,50,Canadian COVID-19 Prospective Cohort Study (CanCOV) ( 2020/21 ),Heather H Keller,University of Waterloo,https://cognit.ca/en/research/project/232364, 
51,51,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Heather H Keller,University of Waterloo,https://cognit.ca/en/research/project/149399, 
52,52,Extending the validation and reliability testing of SCREEN a nutrition risk screening tool for community-living seniors. ( 2020/21 ),Heather H Keller,University of Waterloo,https://cognit.ca/en/research/project/230101, 
53,53,"Development of a three-tiered, standardized process to assess senior drivers ( 2013/14-2018/19 )",Gary Naglie,Baycrest Health Sciences,https://cognit.ca/en/research/project/151169, 
54,54,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Gary Naglie,Baycrest Health Sciences,https://cognit.ca/en/research/project/149399, 
55,55,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),Rodney E Knight,University of British Columbia,https://cognit.ca/en/research/project/179618, 
56,56,"Addressing sexual- and drug-related HIV risk among young gay, bisexual and other MSM ( 2017/18-2020/21 )",Rodney E Knight,University of British Columbia,https://cognit.ca/en/research/project/147279, 
57,57,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),Jean A Shoveller,University of British Columbia,https://cognit.ca/en/research/project/179618, 
58,58,"Addressing sexual- and drug-related HIV risk among young gay, bisexual and other MSM ( 2017/18-2020/21 )",Jean A Shoveller,University of British Columbia,https://cognit.ca/en/research/project/147279, 
59,59,Canadian COVID-19 Prospective Cohort Study (CanCOV) ( 2020/21 ),Brent Richards,McGill University,https://cognit.ca/en/research/project/232364, 
60,60,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Brent Richards,McGill University,https://cognit.ca/en/research/project/149399, 
61,61,Miser sur le mentorat actif pour favoriser l'inclusion sociale des aînés qui présentent une déficience intellectuelle ( 2018/19 ),Élise Milot,Laval University,https://cognit.ca/en/research/project/187197, 
62,62,Dyscorpia: Intersections of the Body and Technology ( 2018/19 ),Sean T Caulfield,University of Alberta,https://cognit.ca/en/research/project/184094, 
63,63,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),John Coggon,University of Southampton,https://cognit.ca/en/research/project/179618, 
64,64,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),Jeffrey Joy,University of British Columbia,https://cognit.ca/en/research/project/179618, 
65,65,Establishing an interdisciplinary research collaboration to investigate the ethical and social implications of artificial intelligence interventions on the health of people living with substance use disorders ( 2018/19 ),.M A Viens,University of Southampton,https://cognit.ca/en/research/project/179618, 
66,66,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Vivian Ewa,University of Calgary,https://cognit.ca/en/research/project/182213, 
67,67,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Konrad Fassbender,University of Alberta,https://cognit.ca/en/research/project/182213, 
68,68,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Lesley Charles,University of Alberta,https://cognit.ca/en/research/project/182213, 
69,69,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Bonnie M Dobbs,University of Alberta,https://cognit.ca/en/research/project/182213, 
70,70,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Cheryl Pollard,Grant MacEwan University,https://cognit.ca/en/research/project/182213, 
71,71,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Wonita Janzen,University of Alberta,https://cognit.ca/en/research/project/182213, 
72,72,Health Workforce Education and Training Resources to Recognize and Support Family Caregivers of Seniors in Care ( 2018/19 ),Vivian Ewa,University of Calgary,https://cognit.ca/en/research/project/182213, 
73,73,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Mark H Chignell,University of Toronto,https://cognit.ca/en/research/project/147498, 
74,74,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Jeffrey S Hoch,University of California,https://cognit.ca/en/research/project/147498, 
75,75,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Julia E Moore,St. Michael's Hospital,https://cognit.ca/en/research/project/147498, 
76,76,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Verena H Menec,University of Manitoba,https://cognit.ca/en/research/project/149399, 
77,77,Improving social inclusion for Canadians with dementia and carers through sharing dance ( 2016/17-2020/21 ),Verena H Menec,University of Manitoba,https://cognit.ca/en/research/project/153408, 
78,78,Understanding the experience of age prejudice ( 2016/17-2019/20 ),Alison L Chasteen,University of Toronto,https://cognit.ca/en/research/project/109954, 
79,79,Miser sur le mentorat actif pour favoriser l'inclusion sociale des aînés qui présentent une déficience intellectuelle ( 2018/19 ),Émilie Raymond,Laval University,https://cognit.ca/en/research/project/187197, 
80,80,Learning From the Lived Experiences of Aging Immigrants ( 2018/19 ),Émilie Raymond,Laval University,https://cognit.ca/en/research/project/184058, 
81,81,Dyscorpia: Intersections of the Body and Technology ( 2018/19 ),Astrid C Ensslin,University of Alberta,https://cognit.ca/en/research/project/184094, 
82,82,Dyscorpia: Intersections of the Body and Technology ( 2018/19 ),Marilene J Oliver,University of Alberta,https://cognit.ca/en/research/project/184094, 
83,83,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Shanthi Johnson,University of Alberta,https://cognit.ca/en/research/project/149399, 
84,84,Wuskiwiy-tan! Let's Move! Aging well in a northern Saskatchewan Métis Community ( 2014/15-2019/20 ),Shanthi Johnson,University of Alberta,https://cognit.ca/en/research/project/151467, 
85,85,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Janice M Keefe,Mount Saint Vincent University,https://cognit.ca/en/research/project/149399, 
86,86,Seniors- Adding Life to Years (SALTY) ( 2016/17-2019/20 ),Janice M Keefe,Mount Saint Vincent University,https://cognit.ca/en/research/project/153909, 
87,87,Miser sur le mentorat actif pour favoriser l'inclusion sociale des aînés qui présentent une déficience intellectuelle ( 2018/19 ),Martin Caouette,Université du Québec à Trois-Rivières,https://cognit.ca/en/research/project/187197, 
88,88,Miser sur le mentorat actif pour favoriser l'inclusion sociale des aînés qui présentent une déficience intellectuelle ( 2018/19 ),Marie Grandisson,Laval University,https://cognit.ca/en/research/project/187197, 
89,89,Canadian COVID-19 Prospective Cohort Study (CanCOV) ( 2020/21 ),Henry T Stelfox,University of Calgary,https://cognit.ca/en/research/project/232364, 
90,90,SPOR Evidence Alliance ( 2017/18-2020/21 ),Henry T Stelfox,University of Calgary,https://cognit.ca/en/research/project/148673, 
91,91,"Canadian Sepsis Research Network: Improving Care Before, During and After Sepsis. ( 2019/20-2020/21 )",Henry T Stelfox,University of Calgary,https://cognit.ca/en/research/project/216338, 
92,92,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Kenneth Rockwood,Dalhousie University,https://cognit.ca/en/research/project/149399, 
93,93,Frailty assessment for older adults at points of care: Validating the electronic comprehensive geriatric assessment / frailty index (eFI-CGA) ( 2018/19-2020/21 ),Kenneth Rockwood,Dalhousie University,https://cognit.ca/en/research/project/182219, 
94,94,Canadian COVID-19 Prospective Cohort Study (CanCOV) ( 2020/21 ),Suzanne N Morin,McGill University,https://cognit.ca/en/research/project/232364, 
95,95,SPOR Evidence Alliance ( 2017/18-2020/21 ),Suzanne N Morin,McGill University,https://cognit.ca/en/research/project/148673, 
96,96,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Denise S Cloutier,University of Victoria,https://cognit.ca/en/research/project/149399, 
97,97,Seniors- Adding Life to Years (SALTY) ( 2016/17-2019/20 ),Denise S Cloutier,University of Victoria,https://cognit.ca/en/research/project/153909, 
98,98,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Emily G Marshall,Dalhousie University,https://cognit.ca/en/research/project/149399, 
99,99,Seniors- Adding Life to Years (SALTY) ( 2016/17-2019/20 ),Emily G Marshall,Dalhousie University,https://cognit.ca/en/research/project/153909, 
100,100,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Frederick I Burge,Dalhousie University,https://cognit.ca/en/research/project/149399, 
101,101,Seniors- Adding Life to Years (SALTY) ( 2016/17-2019/20 ),Frederick I Burge,Dalhousie University,https://cognit.ca/en/research/project/153909, 
102,102,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Andrea Gruneir,University of Alberta,https://cognit.ca/en/research/project/149399, 
103,103,Seniors- Adding Life to Years (SALTY) ( 2016/17-2019/20 ),Andrea Gruneir,University of Alberta,https://cognit.ca/en/research/project/153909, 
104,104,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Melissa K Andrew,Dalhousie University,https://cognit.ca/en/research/project/149399, 
105,105,Seniors- Adding Life to Years (SALTY) ( 2016/17-2019/20 ),Melissa K Andrew,Dalhousie University,https://cognit.ca/en/research/project/153909, 
106,106,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Julia E Moore,St. Michael's Hospital,https://cognit.ca/en/research/project/147498, 
107,107,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Alexandra Papaioannou,McMaster University,https://cognit.ca/en/research/project/149399, 
108,108,Understanding the effectiveness and underlying mechanisms of interventions for socially frailty older adults: A systematic review alongside a realist review ( 2020/21 ),Alexandra Papaioannou,McMaster University,https://cognit.ca/en/research/project/231284, 
109,109,"Understanding how vulnerable older adults (are new immigrants, Indigenous, have mild-to-moderate dementia or identify as LGBTQ) experience social isolation and loneliness ( 2019/20-2020/21 )",Alexandra Papaioannou,McMaster University,https://cognit.ca/en/research/project/215737, 
110,110,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Parminder S Raina,McMaster University,https://cognit.ca/en/research/project/149399, 
111,111,"The EMBOLDEN study: Enhancing physical and community MoBility in OLDEr adults with health inequities using commuNity co-design, implementation and evaluation of a complex intervention incorporating exercise, nutrition, social participation, and system navigation ( 2019/20 )",Parminder S Raina,McMaster University,https://cognit.ca/en/research/project/215778, 
112,112,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Christina M Wolfson,McGill University Health Centre,https://cognit.ca/en/research/project/149399, 
113,113,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Christina M Wolfson,McGill University Health Centre,https://cognit.ca/en/research/project/149399, 
114,114,"Politics, Physiology, and Cognition: Advances in Theory and Method ( 2018/19 )",Jordan Mansell,Université du Québec à Montréal,https://cognit.ca/en/research/project/184137, 
115,115,"Development of a three-tiered, standardized process to assess senior drivers ( 2013/14-2018/19 )",Michel Bédard,Lakehead University,https://cognit.ca/en/research/project/151169, 
116,116,Managing sustainable cross sector social partnerships in action ( 2018/19 ),Andrew Webb,Carleton University,https://cognit.ca/en/research/project/187371, 
117,117,"Politics, Physiology, and Cognition: Advances in Theory and Method ( 2018/19 )",Allison Harell,Université du Québec à Montréal,https://cognit.ca/en/research/project/184137, 
118,118,Soutenir l'offre active et l'intégration des services sociaux et de santé destinés aux ainés des communautés linguistiques officielles en situation minoritaire ( 2017/18-2019/20 ),Sébastien Savard,University of Ottawa,https://cognit.ca/en/research/project/115375, 
119,119,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Margaret K Pichora-Fuller,University of Toronto,https://cognit.ca/en/research/project/149399, 
120,120,Training cognition to improve mobility and listening in older adults with hearing loss: Moving from lab to life ( 2019/20-2020/21 ),Margaret K Pichora-Fuller,University of Toronto,https://cognit.ca/en/research/project/214556, 
121,121,Using FRC and UHPFRC with conventional reinforcement for the seismic design and rehabilitation of bridge piers and for the design of bridge superstructure elements ( 2017/18-2019/20 ),Bruno Massicotte,Polytechnique Montréal,https://cognit.ca/en/research/project/14824, 
122,122,Cancer pharmacoepidemiology: a population-based assessment of the risks of prescription drugs in vulnerable populations ( 2015/16-2020/21 ),Laurent Azoulay,McGill University,https://cognit.ca/en/research/project/147722, 
123,123,Soutenir l'offre active et l'intégration des services sociaux et de santé destinés aux ainés des communautés linguistiques officielles en situation minoritaire ( 2017/18-2019/20 ),Yves Couturier,Université de Sherbrooke,https://cognit.ca/en/research/project/115375, 
124,124,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from from hospitals and emergency Departments to the cOMmunity: the LEARNING WISDOM Phase II scale-up project ( 2017/18-2020/21 ),Yves Couturier,Université de Sherbrooke,https://cognit.ca/en/research/project/153228, 
125,125,SPOR Evidence Alliance ( 2017/18-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/148673, 
126,126,Scaling up shared decision making for patient-centred care ( 2018/19-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/181780, 
127,127,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from from hospitals and emergency Departments to the cOMmunity: the LEARNING WISDOM Phase II scale-up project ( 2017/18-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/153228, 
128,128,Canadian Collaboration for Patients with Complexity: Innovation to promote optimal and appropriate care for all. ( 2019/20 ),France Légaré,Laval University,https://cognit.ca/en/research/project/216247, 
129,129,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Michael R Veall,McMaster University,https://cognit.ca/en/research/project/149399, 
130,130,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Malcolm R Sears,McMaster University,https://cognit.ca/en/research/project/149399, 
131,131,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Andrew Sixsmith,Simon Fraser University,https://cognit.ca/en/research/project/149399, 
132,132,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),. Jonathan A Stoessl,University of British Columbia,https://cognit.ca/en/research/project/149399, 
133,133,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Eric E Smith,University of Calgary,https://cognit.ca/en/research/project/149399, 
134,134,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Harriet L Macmillan,McMaster University,https://cognit.ca/en/research/project/149399, 
135,135,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Hélène Girouard,University of Montreal,https://cognit.ca/en/research/project/149399, 
136,136,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Mary E Thompson,University of Waterloo,https://cognit.ca/en/research/project/149399, 
137,137,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Pierre Ayotte,Laval University,https://cognit.ca/en/research/project/149399, 
138,138,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Brenda H Vrkljan,McMaster University,https://cognit.ca/en/research/project/149399, 
139,139,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Hélène Girouard,University of Montreal,https://cognit.ca/en/research/project/149399, 
140,140,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Dawn M Bowdish,McMaster University,https://cognit.ca/en/research/project/149399, 
141,141,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Pierre Ayotte,Laval University,https://cognit.ca/en/research/project/149399, 
142,142,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Koon K Teo,McMaster University,https://cognit.ca/en/research/project/149399, 
143,143,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Carol E Greenwood,University of Toronto,https://cognit.ca/en/research/project/149399, 
144,144,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Mary E Thompson,University of Waterloo,https://cognit.ca/en/research/project/149399, 
145,145,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Judith G Chipperfield,University of Manitoba,https://cognit.ca/en/research/project/149399, 
146,146,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Changbao Wu,University of Waterloo,https://cognit.ca/en/research/project/149399, 
147,147,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Allison B Sekuler,Baycrest Health Sciences,https://cognit.ca/en/research/project/149399, 
148,148,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Malcolm R Sears,McMaster University,https://cognit.ca/en/research/project/149399, 
149,149,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Changbao Wu,University of Waterloo,https://cognit.ca/en/research/project/149399, 
150,150,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Judith G Chipperfield,University of Manitoba,https://cognit.ca/en/research/project/149399, 
151,151,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Holly A Tuokko,University of Victoria,https://cognit.ca/en/research/project/149399, 
152,152,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Malcolm B Doupe,University of Manitoba,https://cognit.ca/en/research/project/149399, 
153,153,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Guylaine Ferland,University of Montreal,https://cognit.ca/en/research/project/149399, 
154,154,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Hélène Girouard,University of Montreal,https://cognit.ca/en/research/project/149399, 
155,155,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Zheng Wu,University of Victoria,https://cognit.ca/en/research/project/149399, 
156,156,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Marc J Poulin,University of Calgary,https://cognit.ca/en/research/project/149399, 
157,157,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Karen M Kobayashi,University of Victoria,https://cognit.ca/en/research/project/149399, 
158,158,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),Colette M Smart,University of Victoria,https://cognit.ca/en/research/project/149399, 
159,159,Canadian Longitudinal Study on Aging ( 2014/15-2020/21 ),. Jonathan A Stoessl,University of British Columbia,https://cognit.ca/en/research/project/149399, 
