,text,author_id,conversation_id,created_at,source,reply_settings,public_metrics,lang,id,in_reply_to_user_id,referenced_tweets
18,"Most Canadians who need around-the-clock care can find it close to home. 

But a shortage of care homes in Nunavut means Inuit elders have to move thousands of kilometres south for the same level of support.
https://t.co/NZe4CuPYof",8736882,1485017681543712772,2022-01-22T22:33:00.000Z,Twitter Web App,everyone,"{'retweet_count': 4, 'reply_count': 6, 'like_count': 7, 'quote_count': 0}",en,1485017681543712772,,
19,"The resulting story is a powerful, in-depth look at long-term care, and the Inuit elders who have to move to the south to get the care they need. 
https://t.co/YLa0n3oEDF",8736882,1484959276321943555,2022-01-22T18:41:23.000Z,Twitter Web App,everyone,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 9, 'quote_count': 0}",en,1484959392978112515,8736882,"[{'type': 'replied_to', 'id': '1484959391350730763'}]"
20,"The Globe's health reporter @kellygrant1 travelled to Kimmirut, Iqaluit to speak with health-care providers, local and territorial officials, Inuit leaders and everyday Nunavummiut about what is and isn’t working in the health-care system in Nunavut.
https://t.co/YLa0n3oEDF",8736882,1484959276321943555,2022-01-22T18:41:22.000Z,Twitter Web App,everyone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",en,1484959391350730763,8736882,"[{'type': 'replied_to', 'id': '1484959389429682180'}]"
21,"“If he went down there,” Ms. Arlooktoo says in Inuktitut, speaking about the long-term care home for Nunavut's high-needs elders in Ottawa, “he would lose his dignity.”
https://t.co/YLa0n3oEDF https://t.co/5NccbcDrp6",8736882,1484959276321943555,2022-01-22T18:41:22.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",en,1484959389429682180,8736882,"[{'type': 'replied_to', 'id': '1484959380240019462'}]"
22,"Elders who move south for long-term care miss out on activities to connect with the land and their culture, like clam-digging. 
https://t.co/YLa0n3oEDF https://t.co/jyKex6Gex4",8736882,1484959276321943555,2022-01-22T18:41:17.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",en,1484959367824916483,8736882,"[{'type': 'replied_to', 'id': '1484959301504536579'}]"
23,"His wife, Peepeelee, does the best she can to care for her husband – who has diabetes and dementia – at home, but it isn’t easy. 
https://t.co/YLa0n3oEDF https://t.co/kGWWDwcz1M",8736882,1484959276321943555,2022-01-22T18:41:01.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",en,1484959301504536579,8736882,"[{'type': 'replied_to', 'id': '1484959288892219399'}]"
24,"Joe Arlooktoo once served as mayor in Kimmirut, a traditional Inuit hamlet on Baffin Island. 

Amid its hilly terrain overlooking an inlet on the Arctic Ocean, the hamlet is where he wants to grow old. 
https://t.co/YLa0n3oEDF https://t.co/eUIeCeFTkT",8736882,1484959276321943555,2022-01-22T18:40:58.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 8, 'quote_count': 0}",en,1484959288892219399,8736882,"[{'type': 'replied_to', 'id': '1484959276321943555'}]"
25,"In Nunavut, the closest long-term care home for some Inuit elders is thousands of kilometres away, forcing families to choose between keeping them home with little help, or sending them south – often for the rest of their lives.
https://t.co/YLa0n3oEDF https://t.co/1iBadaux95",8736882,1484959276321943555,2022-01-22T18:40:55.000Z,Twitter Web App,everyone,"{'retweet_count': 33, 'reply_count': 43, 'like_count': 76, 'quote_count': 10}",en,1484959276321943555,,
26,The plight of Nunavut’s seniors is emblematic of the struggles that all Nunavummiut face when they need the kind of rudimentary medical care that most Canadians take for granted. https://t.co/ajzcj8d554,8736882,1484640383468548096,2022-01-21T21:33:45.000Z,TweetDeck,everyone,"{'retweet_count': 5, 'reply_count': 4, 'like_count': 13, 'quote_count': 0}",en,1484640383468548096,,
27,NDP calls on federal government to give emergency one-off payment to desperate seniors https://t.co/FYBhc5bEPo,8736882,1484616302178148356,2022-01-21T19:58:03.000Z,dlvr.it,everyone,"{'retweet_count': 5, 'reply_count': 13, 'like_count': 14, 'quote_count': 2}",en,1484616302178148356,,
28,How elders from Nunavut end up in long-term care thousands of kilometres from home https://t.co/tBlJXHGeqK,8736882,1484582973139681281,2022-01-21T17:45:37.000Z,dlvr.it,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 2}",en,1484582973139681281,,
29,"""It’s community that she misses"": Nunavut elders face growing old far from home https://t.co/Y8JckXyLSY",8736882,1484578810578145282,2022-01-21T17:29:05.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",en,1484578810578145282,,
30,"How to know when it’s time for seniors to stop driving, why the pandemic is leading Canadians to delay retirement and a question on mandatory RRIF withdrawals https://t.co/LLur4F09wh",8736882,1484121052242333696,2022-01-20T11:10:07.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 5, 'quote_count': 0}",en,1484121052242333696,,
31,How to know when it’s time for seniors to stop driving https://t.co/EhELtgnsrF,8736882,1483397281843793921,2022-01-18T11:14:06.000Z,dlvr.it,everyone,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 2, 'quote_count': 2}",en,1483397281843793921,,
32,"When a guy chats up Rhoda Nadell, 77, her brain quickly fast forwards: Dinner dates will turn into a relationship, which will inevitably find her cooking, cleaning and eventually caregiving for the elderly man. 
https://t.co/gg0pDGUeUi",8736882,1481069983388127232,2022-01-12T01:06:17.000Z,Twitter Web App,everyone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 17, 'quote_count': 1}",en,1481069991478939648,8736882,"[{'type': 'replied_to', 'id': '1481069989662765056'}]"
33,"B.C. long-term care residents are entitled to a designated visitor, seniors advocate says https://t.co/3FDW7hrY47",8736882,1479244278031216642,2022-01-07T00:11:33.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 15, 'quote_count': 1}",en,1479244278031216642,,
34,"Quebec man, 88, dies after being found outside Laval seniors’ home at night https://t.co/ST9iyzYQ35",8736882,1475967316206620672,2021-12-28T23:10:04.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 12, 'quote_count': 1}",en,1475967316206620672,,
35,From the archives: Why these seniors are choosing the RV life https://t.co/gxLEqmRuX4,8736882,1475253680538595336,2021-12-26T23:54:20.000Z,Twitter Web App,everyone,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 12, 'quote_count': 2}",en,1475253680538595336,,
36,"How seniors can ensure they’re getting the health care they deserve, why the definition of retirement may need to change and how to find a good adviser https://t.co/wwDG522nw2",8736882,1471437587319455746,2021-12-16T11:10:33.000Z,dlvr.it,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",en,1471437587319455746,,
37,How seniors can ensure they’re getting the health care they deserve https://t.co/vGkxYbnLrR,8736882,1470712952713924611,2021-12-14T11:11:07.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",en,1470712952713924611,,
38,Seniors advocate calls for reporting line for abuse and neglect amid rising reports https://t.co/Paf4d8Wy32,8736882,1468749623674109954,2021-12-09T01:09:32.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",en,1468749623674109954,,
39,These seniors show why you’re never too old to learn to ski https://t.co/hSOawfmx1f,8736882,1468177499435659265,2021-12-07T11:16:07.000Z,dlvr.it,everyone,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 12, 'quote_count': 3}",en,1468177499435659265,,
40,"Lee Elder, the first Black golfer to play in the Masters, dies at 87 https://t.co/zB1NQwL5Og",8736882,1465363561962635269,2021-11-29T16:54:32.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",en,1465363561962635269,,
41,Loneliness a major risk factor for depression for seniors during first year of pandemic: study https://t.co/Akeuhf8m7z,8736882,1463901569200517120,2021-11-25T16:05:06.000Z,dlvr.it,everyone,"{'retweet_count': 11, 'reply_count': 4, 'like_count': 31, 'quote_count': 4}",en,1463901569200517120,,
42,Seniors have a lot of stuff: Here’s how to downsize instead of dumping it all on heirs https://t.co/VkegEeyD3k,8736882,1463102415696134149,2021-11-23T11:09:33.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 4, 'quote_count': 1}",en,1463102415696134149,,
43,Local Indigenous elder honoured at Calgary’s Top 7 Over 70 awards for long-time community work https://t.co/fSmbE885nO,8736882,1456230634343448580,2021-11-04T12:03:33.000Z,dlvr.it,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}",en,1456230634343448580,,
44,"Loss of GIS because of pandemic benefits is creating a ‘financial crisis’ for low-income seniors, NDP warns https://t.co/IhAK5708fu",8736882,1456036358640660481,2021-11-03T23:11:34.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 4, 'quote_count': 1}",en,1456036358640660481,,
45,"⚡️ Nearly 600 people died in the B.C. summer heat wave, according to new data. The vast majority were seniors.

@AndreaWoo reports:
https://t.co/146JqIuTcY",8736882,1455230397839814671,2021-11-01T17:48:58.000Z,Twitter Web App,everyone,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 5, 'quote_count': 1}",en,1455230397839814671,,
46,"The update sheds more light on the demographics of who died during B.C's summer heat wave. 

The coroners service continues to investigate these deaths and is expected to release a final report next spring.

https://t.co/HB0ypgZQcC",8736882,1455224688880365570,2021-11-01T17:26:19.000Z,Twitter Web App,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",en,1455224696908169216,8736882,"[{'type': 'replied_to', 'id': '1455224695167586307'}]"
47,"People 70 and older accounted for 69 per cent of the deaths, the coroners service reports. Almost all – 96 per cent – died at home.

https://t.co/HB0ypgZQcC",8736882,1455224688880365570,2021-11-01T17:26:18.000Z,Twitter Web App,everyone,"{'retweet_count': 6, 'reply_count': 1, 'like_count': 6, 'quote_count': 1}",en,1455224695167586307,8736882,"[{'type': 'replied_to', 'id': '1455224693192003597'}]"
48,"In all, there were at least 595 heat-related deaths from June 18 to Aug. 12. 

Most of them occurred the week of June 25 to July 1, peaking on the deadliest days of June 28 and 29 –when 131 and 231 people died, respectively.

https://t.co/HB0ypgZQcC https://t.co/3We6DAtEuy",8736882,1455224688880365570,2021-11-01T17:26:18.000Z,Twitter Web App,everyone,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 12, 'quote_count': 1}",en,1455224693192003597,8736882,"[{'type': 'replied_to', 'id': '1455224688880365570'}]"
49,"British Columbia’s unprecedented heat dome this summer killed 362 people in the span of 48 hours, according to new data from the BC Coroners Service.

https://t.co/HB0ypgZQcC",8736882,1455224688880365570,2021-11-01T17:26:17.000Z,Twitter Web App,everyone,"{'retweet_count': 11, 'reply_count': 1, 'like_count': 9, 'quote_count': 1}",en,1455224688880365570,,
50,"Nearly 600 people died in B.C. summer heat wave, vast majority seniors: coroner https://t.co/Mu67837uQX",8736882,1455203523272929280,2021-11-01T16:02:10.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 6, 'like_count': 7, 'quote_count': 1}",en,1455203523272929280,,
51,"The exponential growth in COVID-19 infections is occurring even as the tools that can keep the coronavirus out of seniors homes are readily available, health care experts told @kahowlett 

https://t.co/EnQw1vye9F",8736882,1448312323035340805,2021-10-13T15:39:02.000Z,Twitter Web App,everyone,"{'retweet_count': 1, 'reply_count': 6, 'like_count': 2, 'quote_count': 3}",en,1448312328542461955,8736882,"[{'type': 'replied_to', 'id': '1448312326629777408'}]"
52,"As of Tuesday, 243 seniors homes across the country had outbreaks, according to a Globe and Mail tally. 

https://t.co/EnQw1vye9F https://t.co/FGgH7IyiAm",8736882,1448312323035340805,2021-10-13T15:39:01.000Z,Twitter Web App,everyone,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 4, 'quote_count': 2}",en,1448312326629777408,8736882,"[{'type': 'replied_to', 'id': '1448312323035340805'}]"
53,"B.C. seniors’ advocate calls for better sick pay benefits, more care staff https://t.co/F9vgOIUMGC",8736882,1445933027138310148,2021-10-07T02:04:32.000Z,dlvr.it,everyone,"{'retweet_count': 7, 'reply_count': 3, 'like_count': 12, 'quote_count': 0}",en,1445933027138310148,,
54,"We’ve talked about the crisis in long-term care before. Why is this crisis, in particular, worth continuing to talk about? 
 
🔊 Canada has seen issues come up before around “our inability to provide adequate care and adequate lodging for elderly people,” says @TuThanhHa.",8736882,1444022594970193928,2021-10-01T19:33:14.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",en,1444022615337746435,8736882,"[{'type': 'replied_to', 'id': '1444022612158558208'}]"
55,"During the first wave of #COVID19, one of the biggest news stories was the carnage inside long-term care homes. Seniors were among the most vulnerable groups to COVID-19, and pre-vaccine, thousands died as outbreaks occurred in facilities across Canada.

https://t.co/QaFaiBGRZO",8736882,1444022594970193928,2021-10-01T19:33:09.000Z,Twitter Web App,everyone,"{'retweet_count': 2, 'reply_count': 6, 'like_count': 6, 'quote_count': 0}",en,1444022594970193928,,
56,"🔊 Today on #TheDecibel, national reporter @TuThanhHa discusses the disastrous chain of events that led to a collapse of care, causing the undignified deaths of many seniors.

https://t.co/xWp6nZdShS",8736882,1443926902620758052,2021-10-01T13:12:58.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,1443926915816038426,8736882,"[{'type': 'replied_to', 'id': '1443926914402557964'}]"
57,National advisory committee recommends immediate COVID-19 vaccine booster for seniors in long-term care https://t.co/GdlYMyQbvh,8736882,1442950502069661699,2021-09-28T20:33:03.000Z,dlvr.it,everyone,"{'retweet_count': 7, 'reply_count': 10, 'like_count': 26, 'quote_count': 0}",en,1442950502069661699,,
58,"A funding fight between Ontario optometrists and the province has escalated to the point where around 280,000 eye appointments have already been cancelled, with children and seniors caught in the middle of the dispute.

https://t.co/56XYNrS3JF",8736882,1442831124854607872,2021-09-28T12:38:41.000Z,Twitter Web App,everyone,"{'retweet_count': 5, 'reply_count': 4, 'like_count': 13, 'quote_count': 6}",en,1442831124854607872,,
59,Want to avoid living in a seniors’ home? Start planning now to age in place https://t.co/1m1IiT8aUO,8736882,1442793845276561408,2021-09-28T10:10:33.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 6, 'quote_count': 3}",en,1442793845276561408,,
60,"COVID-19 cases, hospitalizations rise in Quebec seniors homes, prompting more mask requirements https://t.co/oTex7fZdsg",8736882,1441434388869173248,2021-09-24T16:08:33.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 25, 'like_count': 7, 'quote_count': 6}",en,1441434388869173248,,
61,"The Bloc will push the demand from Quebec and other provinces for a major increase in federal health transfers, and wants changes to the Liberal government’s plan to boost Old Age Security benefits by 10 per cent, starting in July, 2022. 

https://t.co/XN5XrNqduF https://t.co/pgbG64lLnR",8736882,1440420569745264647,2021-09-21T21:00:04.000Z,Twitter Web App,everyone,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,1440420586732212233,8736882,"[{'type': 'replied_to', 'id': '1440420577982832642'}]"
62,"Prime Minister Justin Trudeau’s re-elected minority government will face calls from the NDP for new taxes on the “ultra-rich” and calls from the Bloc Québécois for billions in new spending on health and seniors.

https://t.co/XN5XrNqduF",8736882,1440420569745264647,2021-09-21T21:00:00.000Z,Twitter Web App,everyone,"{'retweet_count': 4, 'reply_count': 6, 'like_count': 12, 'quote_count': 0}",en,1440420569745264647,,
63,"If you're a senior...🦯

The Liberals targeted low-income seniors with a $500 increase in the guaranteed income supplement for single and a $750 increase for couples. 

https://t.co/7HVi9ncgro",8736882,1440368346461982721,2021-09-21T17:32:32.000Z,Twitter Web App,everyone,"{'retweet_count': 8, 'reply_count': 11, 'like_count': 39, 'quote_count': 4}",en,1440368360290598928,8736882,"[{'type': 'replied_to', 'id': '1440368358407368714'}]"
64,"The senior’s guide to finding love — or at the very least, companionship https://t.co/iUtOV7rhQH",8736882,1440271891051147273,2021-09-21T11:09:12.000Z,dlvr.it,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",en,1440271891051147273,,
65,"“It’s not reasonable to think that you can put the people who you’re caring for at risk to something that’s this deadly,” Dr. Smart said.

https://t.co/olYs236Je4",8736882,1439958327065255937,2021-09-20T14:23:18.000Z,Twitter Web App,everyone,"{'retweet_count': 6, 'reply_count': 10, 'like_count': 13, 'quote_count': 0}",en,1439958350641471488,8736882,"[{'type': 'replied_to', 'id': '1439958348619714563'}]"
66,"“We really feel strongly that people have a right to expect safety, and the only way to ensure that is to have all the [health care] workers vaccinated against COVID-19,” Dr. Smart said. 

https://t.co/olYs236Je4",8736882,1439958327065255937,2021-09-20T14:23:18.000Z,Twitter Web App,everyone,"{'retweet_count': 5, 'reply_count': 4, 'like_count': 14, 'quote_count': 2}",en,1439958348619714563,8736882,"[{'type': 'replied_to', 'id': '1439958346757455872'}]"
67,"CMA president Katharine Smart said political leaders need to move beyond the personal choice narrative on vaccinations, because that stand has consequences for everyone else in society.

https://t.co/olYs236Je4",8736882,1439958327065255937,2021-09-20T14:23:17.000Z,Twitter Web App,everyone,"{'retweet_count': 9, 'reply_count': 2, 'like_count': 11, 'quote_count': 1}",en,1439958346757455872,8736882,"[{'type': 'replied_to', 'id': '1439958343842504709'}]"
68,"LTC homes in B.C. began declaring a new outbreaks in late July and early August.

“It was almost all unvaccinated workers who were bringing it in,” B.C. Seniors Advocate Isobel Mackenzie said. Recent outbreaks have started with vaccinated staff, she said.

https://t.co/olYs236Je4 https://t.co/OG1UcpIa01",8736882,1439958327065255937,2021-09-20T14:23:16.000Z,Twitter Web App,everyone,"{'retweet_count': 10, 'reply_count': 3, 'like_count': 8, 'quote_count': 2}",en,1439958343842504709,8736882,"[{'type': 'replied_to', 'id': '1439958336657629185'}]"
69,"Alberta and Saskatchewan, Canada's two hot spots, are struggling with a crush of unvaccinated COVID-19 patients. Outbreaks in long-term care in Alberta soared  to 103 from 61 in one week, according to data from the province.

https://t.co/olYs236Je4 https://t.co/FMX6IulYWT",8736882,1439958327065255937,2021-09-20T14:23:15.000Z,Twitter Web App,everyone,"{'retweet_count': 17, 'reply_count': 5, 'like_count': 27, 'quote_count': 2}",en,1439958336657629185,8736882,"[{'type': 'replied_to', 'id': '1439958332400406528'}]"
70,"British Columbia, Alberta and Quebec have made vaccination a condition of employment for health care workers. Other provinces, including Saskatchewan and Ontario, are giving the option to get vaccinated or tested regularly for COVID-19.

https://t.co/olYs236Je4 https://t.co/GKOgHQT2uM",8736882,1439958327065255937,2021-09-20T14:23:14.000Z,Twitter Web App,everyone,"{'retweet_count': 13, 'reply_count': 5, 'like_count': 18, 'quote_count': 1}",en,1439958332400406528,8736882,"[{'type': 'replied_to', 'id': '1439958329078554631'}]"
71,"Experts say anything less than national, mandatory #Covid_19 vaccination policies puts the frail elderly in seniors’ homes at risk of catching the virus from those individuals responsible for their care.

https://t.co/olYs236Je4",8736882,1439958327065255937,2021-09-20T14:23:13.000Z,Twitter Web App,everyone,"{'retweet_count': 18, 'reply_count': 11, 'like_count': 30, 'quote_count': 3}",en,1439958329078554631,8736882,"[{'type': 'replied_to', 'id': '1439958327065255937'}]"
72,"A recent surge of #Delta variant-fuelled COVID-19 outbreaks at seniors homes across Canada is amplifying concerns that unvaccinated health care workers are contributing to the spread of the virus.

https://t.co/olYs236Je4",8736882,1439958327065255937,2021-09-20T14:23:12.000Z,Twitter Web App,everyone,"{'retweet_count': 53, 'reply_count': 83, 'like_count': 85, 'quote_count': 25}",en,1439958327065255937,,
73,Unvaccinated workers fuel concerns over surge in COVID-19 cases at care homes https://t.co/eKwEjlRLmT,8736882,1439886435880820736,2021-09-20T09:37:32.000Z,dlvr.it,everyone,"{'retweet_count': 6, 'reply_count': 12, 'like_count': 10, 'quote_count': 2}",en,1439886435880820736,,
74,"⚡️ Dozens of elderly residents at Herron long-term care died from thirst, malnourishment and neglect during first wave of COVID-19, inquest hears

@TuThanhHa reports

https://t.co/gv0nlo8spV",8736882,1438147340972412937,2021-09-15T14:27:00.000Z,Twitter Web App,everyone,"{'retweet_count': 5, 'reply_count': 9, 'like_count': 6, 'quote_count': 3}",en,1438147340972412937,,
75,"Many elderly residents with Alzheimer’s disease declined quickly when left by themselves. “I saw firsthand that they were dehydrated, in spite of my best efforts to keep them hydrated. I saw that they were malnourished,” the auxiliary nurse said.

https://t.co/7sLcO4UjX3",8736882,1438128911414607883,2021-09-15T13:13:47.000Z,Twitter Web App,everyone,"{'retweet_count': 31, 'reply_count': 5, 'like_count': 61, 'quote_count': 4}",en,1438128916380672003,8736882,"[{'type': 'replied_to', 'id': '1438128914820485125'}]"
