,links,dates,header,body,b_points
10,https://helpagecanada.ca/2020/09/meridian/,"Sep 10, 2020",Meridian launched the Meridian Donation Match Program with HelpAge Canada. - HelpAge Canada,,
11,https://helpagecanada.ca/2020/09/jacobs/,"Sep 1, 2020","Thank you, Jacobs, for choosing HelpAge Canada as your partner charity to support seniors during the COVID-19 pandemic. - HelpAge Canada","On March 13th, HelpAge Canada pivoted our programming to become Canada’s first national responder to the COVID-19 pandemic for seniors. We launched a campaign raising over $500,000 for humanitarian relief for seniors across Canada. We disbursed funds through over 78 partners across Canada providing food, medicine, social support to seniors as well as PPE and safety products for staff and volunteers including 3,482 grocery hampers, and 13,181 hot meals. We also responded by providing 100 iPads to seniors in 20 communities across Canada with a digital literacy program called Seniors Can Connect! We provided 3-month hygiene kits to 1000 seniors in the conflict zone in Eastern Ukraine and provided an additional $21,000 in emergency relief to 18 partners in India, Sri-Lanka, Kenya, Jamaica, Haiti, Dominica and Lebanon. We provided 58 seniors with mobility and accessibility grants, as well as programming grants to 1,488 seniors to address isolation and loneliness through our Seniors Can! program and we are launching an intergenerational digital literacy program in south-western Nunavut providing tablets and digital literacy to 200 elders with 40 youth. ",
12,https://helpagecanada.ca/2020/08/hayat-beirut/,"Aug 31, 2020",Hayat survived the Beirut explosion. - HelpAge Canada,"What older people say about their rights during the COVID-19 pandemic. Report published byHelpAge International. HelpAge International is a global network of organisations promoting the right of all older people to lead dignified, healthy and secure lives.",
13,https://helpagecanada.ca/2020/08/beirut-blast-rapid-needs-assessment/,"Aug 22, 2020",Beirut Blast: Rapid needs assessment highlights long term healthcare amongst priorities for recovery - HelpAge Canada,,
14,https://helpagecanada.ca/2020/06/neglect-and-abuse-of-older-people-around-the-world-intensified-by-covid-19/,"Jun 10, 2020",Neglect and abuse of older people around the world intensified by COVID-19 - HelpAge Canada, ,
15,https://helpagecanada.ca/2020/06/helpage-canada-is-thrilled-to-partner-with-centraide-estrie/,"Jun 3, 2020",HelpAge Canada is thrilled to partner with Centraide Estrie! - HelpAge Canada,,
16,https://helpagecanada.ca/2020/05/helpage-canada-raises-more-than-400000-to-support-canadas-vulnerable-aging-population-in-the-fight-against-covid-19/,"May 29, 2020","HelpAge Canada Raises More Than $400,000 to Support Canada’s Vulnerable Aging Population in the Fight Against COVID-19 - HelpAge Canada","“The importance of Grandparents has been something I have been aware of as long as I have been alive; I was raised by my Grandparents. My Grandfather, in particular, was a hugely influential presence in my life and his stories, advice, and spirit are with me to this day. He was Icelandic-Canadian and very proud of it. When I was able to go to Iceland, I felt him with me every step of the way. He instilled in me a sense of pride for my heritage and was a keeper of current family stories as well as ancient ones. His teachings of my roots provided me with self-confidence and a sense of belonging in my formative years – this has translated into adulthood. My life is richer for having been raised by my Grandparents. It is so important to be an advocate to ensure older people are able to live healthy, dignified, and safe lives.” ~ Melody, Client Deliverables SolutionsJacobs – Vancouver, BC “My Grandad was and will remain a huge influence on the person I am today and strive to be in the future. Despite hardships and war that he faced in his life, he will always be remembered as a happy, high spirited and endlessly caring person. His diverse life experience gave him broad wisdom about so many things. This was evident in his never-ending supply of stories and anecdotes that, aside from being hilarious, always carried with them a lesson or piece of invaluable advice. My life has been shaped in no small part by these stories and lessons and they live on in my family.” ~ Matthew, Buildings, Infrastructure and Advanced FacilitiesJacobs – Ottawa, ON",
17,https://helpagecanada.ca/2020/05/helpage-canada-supported-over-150000-seniors-across-canada-since-march/,"May 27, 2020","HelpAge Canada supported over 150,000 seniors across Canada since March. - HelpAge Canada",,
18,https://helpagecanada.ca/2020/05/helpage-canada-and-connected-canadians/,"May 20, 2020",HelpAge Canada and Connected Canadians join forces to connect older people with loved ones and their communities - HelpAge Canada,,
19,https://helpagecanada.ca/2020/05/christine-vilcocq/,"May 4, 2020",Containment wreaks havoc on our society's most vulnerable and isolated population. - HelpAge Canada,"Read Hayat’s first hand experience… Hayat Taleb is a sixty-year-old Lebanese woman who lives in Karantina with little access to health care and poor living conditions. She recalls what happened to her when the explosion happened in the port of Beirut. “All I can remember about six o’clock in the evening on August 4this that I was cleaning on the balcony. I started to hear crackers but continued my work. Then the voices started getting louder. I can’t remember what happened next. I opened my eyes and found myself lying on the floor of my damaged house. My eyes and head were bleeding, but my only thought was to check on my children. I found them injured as well and together we rushed to the nearest hospital to seek medical help. “I don’t know what happened, even the hospital was destroyed. After a long night, our wounds were bandaged, but we could not return home, and were overwhelmed by fear. Now, more than a week after the disaster, all I want is to feel safe. I only want to find safety and peace in Lebanon. “Life is difficult in Lebanon, even for younger people who are full of vitality and energy, so how about it for older people like us? It is impossible for us to find a job at this age, and in return there is a huge gap in services available for old age.” You can make a difference in Hayat’s life:DONATE TODAY  Collected byAmel Associationin Beirut.  ",
20,https://helpagecanada.ca/2019/12/helpage-canada-is-thrilled-to-announce-the-appointment-of-its-new-executive-director-gregor-sneddon/,"Dec 17, 2019",HelpAge Canada is thrilled to announce the appointment of its new Executive Director: Gregor Sneddon - HelpAge Canada,,
21,https://helpagecanada.ca/2019/01/cse-and-helpage-sri-lanka-organize-health-camp-in-padukka/,"Jan 30, 2019",CSE and HelpAge Sri Lanka organize health camp in Padukka - HelpAge Canada,,
22,https://helpagecanada.ca/2018/09/canada-celebrates-seniors-on-the-international-day-of-older-persons/,"Sep 30, 2018",Canada Celebrates Seniors on the International Day of Older Persons - HelpAge Canada,,
23,https://helpagecanada.ca/2018/08/un-member-states-begin-discussing-older-peoples-rights-in-earnest-at-the-ninth-open-ended-working-group/,"Aug 2, 2018",UN member states begin discussing older people's rights in earnest at the ninth Open-ended Working Group - HelpAge Canada,,
24,https://helpagecanada.ca/2018/07/demanding-an-end-to-elder-abuse-in-nepal/,"Jul 27, 2018",Demanding an end to elder abuse in Nepal - HelpAge International - HelpAge Canada,,
25,https://helpagecanada.ca/2018/07/the-older-refugees-from-burundi/,"Jul 7, 2018",The Older Refugees from Burundi - HelpAge International - HelpAge Canada,,
26,https://helpagecanada.ca/2018/06/congratulations-to-kenya-on-the-launch-of-its-universal-social-pension-now-how-can-we-help-make-it-a-success/,"Jun 20, 2018","Congratulations to Kenya on the launch of its universal social pension, now how can we help make it a success? - HelpAge International - HelpAge Canada",,
27,https://helpagecanada.ca/2018/06/world-elder-abuse-awareness-day/,"Jun 15, 2018",World Elder Abuse Awareness Day - HelpAge Canada,,
28,https://helpagecanada.ca/2018/06/humanitarian-inclusion-standards-for-older-people-and-people-with-disabilities-become-part-of-the-humanitarian-standards-partnership/,"Jun 9, 2018",Humanitarian inclusion standards for older people and people with disabilities become part of the Humanitarian Standards Partnership - HelpAge Canada,,
29,https://helpagecanada.ca/2018/06/how-our-network-is-making-the-western-balkans-more-inclusive-for-older-people/,"Jun 7, 2018",How our network is making the Western Balkans more inclusive for older people - HelpAge Canada,,
30,https://helpagecanada.ca/2018/06/two-steps-forward-one-step-back-at-this-years-world-health-assembly/,"Jun 3, 2018","Two steps forward, one step back at this year's World Health Assembly - HelpAge Canada",,
31,https://helpagecanada.ca/2018/05/after-maria-hope-grows-in-dominica/,"May 28, 2018","After Maria, Hope Grows in Dominica - HelpAge Canada",,
32,https://helpagecanada.ca/2018/05/millions-of-older-people-with-disabilities-risk-being-excluded-from-humanitarian-assistance-new-helpage-report-reveals/,"May 3, 2018","Millions of older people with disabilities risk being excluded from humanitarian assistance, new HelpAge report reveals - HelpAge Canada",,
33,https://helpagecanada.ca/2018/05/freedom-to-decide-for-ourselves-older-peoples-rights-are-denied-says-new-report/,"May 3, 2018","Freedom to decide for ourselves: older people's rights are denied, says new report - HelpAge Canada",,
34,https://helpagecanada.ca/2017/10/international-day-older-persons-recognizing-reaching-seniors/,"Oct 2, 2017",International Day of Older Persons: Recognizing and Reaching out to Seniors - HelpAge Canada,,
35,https://helpagecanada.ca/2017/06/helpage-international-older-women-speak/,"Jun 28, 2017",HelpAge International: Older Women Speak Out - HelpAge Canada,,
36,https://helpagecanada.ca/2017/01/rise-sunday-february-19/,"Jan 30, 2017","RISE SUNDAY, February 19 - HelpAge Canada",,
37,https://helpagecanada.ca/2016/12/reaching-senior-precious-gift/,"Dec 21, 2016",Reaching out to a senior is a precious gift - HelpAge Canada,,
38,https://helpagecanada.ca/2016/09/international-day-older-persons/,"Sep 30, 2016",International Day of Older Persons - HelpAge Canada,,
39,https://helpagecanada.ca/2016/06/june-15-world-elder-abuse-awareness-day/,"Jun 15, 2016",June 15 is World Elder Abuse Awareness Day - HelpAge Canada,,
40,https://helpagecanada.ca/2016/06/peg-world-health-assembly-23-28-may-geneva-switzerland/,"Jun 1, 2016","PEG: World Health Assembly, 23-28 May, Geneva, Switzerland. - HelpAge Canada",,
41,https://helpagecanada.ca/2016/05/first-world-humanitarian-summit-may-23-24-2016-istanbul-turkey/,"May 10, 2016",Lead Up to The First World Humanitarian Summit – May 23-24 2016. - HelpAge Canada,,
42,https://helpagecanada.ca/2016/04/helpage-international-marks-world-health-day-focus-diabetes/,"Apr 7, 2016",HelpAge International Marks World Health Day with Focus on Diabetes - HelpAge Canada,,
43,https://helpagecanada.ca/2016/04/rise-cisa-oct-1-2015-event-nepean-ont/,"Apr 1, 2016","RISE— CISA, Oct 1, 2015 Event in Nepean Ont. - HelpAge Canada",,
44,https://helpagecanada.ca/2016/04/watch-jacques-bertrand-executive-director-helpagecanada-ctv/,"Apr 1, 2016",Interview on CTV - HelpAge Canada,,
45,https://helpagecanada.ca/2016/03/briser-lisolement-des-aines/,"Mar 9, 2016",Briser l'isolement des ainés - HelpAge Canada,,
46,https://helpagecanada.ca/2016/03/new-doro-824-smartphone-designed-seniors-comes-canada/,"Mar 6, 2016",New Doro 824 Smartphone designed for seniors comes to Canada - HelpAge Canada,,
47,https://helpagecanada.ca/2016/03/helpage-visits-toronto-partner/,"Mar 5, 2016",HelpAge Visits Toronto Partner - HelpAge Canada,,
48,https://helpagecanada.ca/2016/03/winner-of-rise-sunday-contest-is-from-winnipeg/,"Mar 5, 2016",Winner of RISE Sunday Contest is from Winnipeg - HelpAge Canada,,
49,https://helpagecanada.ca/2016/02/thank-you-for-a-successful-rise-sunday/,"Feb 26, 2016",Thank You for a Successful RISE Sunday - HelpAge Canada,,
50,https://helpagecanada.ca/2016/02/interview-rogers-tv/,"Feb 25, 2016",Interview on Rogers TV - HelpAge Canada,,
51,https://helpagecanada.ca/2016/02/interview/,"Feb 24, 2016",Interview on 1310 News - HelpAge Canada,,
52,https://helpagecanada.ca/2016/02/cbc-ottawa-interview/,"Feb 21, 2016",CBC Ottawa interview - HelpAge Canada,,
53,https://helpagecanada.ca/2016/02/february-21st-rise-sunday/,"Feb 17, 2016",February 21st is RISE Sunday - HelpAge Canada,,
54,https://helpagecanada.ca/2016/02/join-us-feb-21/,"Feb 2, 2016",Join Us Feb. 21 - HelpAge Canada,,
55,https://helpagecanada.ca/2016/01/the-upbeat-reach-out-to-an-isolated-senior-on-feb-21/,"Jan 29, 2016",The UpBeat: Reach out to an isolated senior on Feb. 21 - HelpAge Canada,,
56,https://helpagecanada.ca/2015/09/helpage-international-releases-third-global-agewatch-index/,"Sep 28, 2015",HelpAge International Releases Third Global Agewatch Index - HelpAge Canada,,
57,https://helpagecanada.ca/2015/07/join-us-on-october-1-2015/,"Jul 28, 2015","Join us on October 1, 2015 for Seen Your Citizen? - A Multicultural and Multi-faith Day to Address Seniors' Isolation and Loneliness - HelpAge Canada",,
58,https://helpagecanada.ca/2015/06/minister-alice-wong-marks-elder-abuse-day-at-helpage-canada-s-office/,"Jun 15, 2015",Minister Alice Wong marks Elder Abuse Day at HelpAge Canada's office - HelpAge Canada,,
59,https://helpagecanada.ca/2015/04/7-8-magnitude-earthquake-strikes-nepal-killing-thousands/,"Apr 28, 2015",7.8 magnitude earthquake strikes Nepal killing thousands - HelpAge Canada,,
60,https://helpagecanada.ca/2015/03/march-12-2015-helpage-international-launches-the-first-disaster-risk-and-age-index/,"Mar 13, 2015",HelpAge International launches the first Disaster Risk and Age Index - HelpAge Canada,,
61,https://helpagecanada.ca/2015/02/our-stories-their-stories/,"Feb 22, 2015","Our Stories, Their Stories. - HelpAge Canada",,
62,https://helpagecanada.ca/2015/02/february-2-2015-helpage-international-releases-report-on-impacts-of-ageing-population/,"Feb 2, 2015",HelpAge International Releases Report on Impacts of Ageing Population - HelpAge Canada,,
63,https://helpagecanada.ca/2015/01/january-12-2015-five-years-on-from-the-haiti-earthquake/,"Jan 12, 2015",Five years on from the Haiti earthquake - HelpAge Canada,,
64,https://helpagecanada.ca/2014/12/helpage-assesses-damage-caused-by-typhoon-hagupit/,"Dec 8, 2014",HelpAge International assesses damage caused by Typhoon Hagupit - HelpAge Canada,,
65,https://helpagecanada.ca/2014/10/october-1-2014-helpage-canada-co-hosts-press-event-with-minister-of-state-for-seniors/,"Oct 3, 2014",HelpAge Canada Co-hosts Press Event with Minister of State for Seniors - HelpAge Canada,,
66,https://helpagecanada.ca/2014/10/global-agewatch-index-ranks-canada-4th-in-seniors-quality-of-life/,"Oct 1, 2014",Global AgeWatch Index Ranks Canada 4th in Seniors' Quality of Life - HelpAge Canada,,
67,https://helpagecanada.ca/2014/09/september-30-2014-global-agewatch-index-to-be-released-tomorrow/,"Sep 30, 2014",Global AgeWatch Index to be released tomorrow - HelpAge Canada,,
68,https://helpagecanada.ca/2014/09/september-1-2014-your-thoughts-are-important/,"Sep 29, 2014",Your thoughts are important - HelpAge Canada,,
69,https://helpagecanada.ca/2014/09/june-15-2014-violence-against-older-people-a-global-phenomenon/,"Sep 28, 2014",Violence against older people: a global phenomenon - HelpAge Canada,,
